,FCA
index,A2A
commit285--commit286,100
commit286--commit287,99.55197133
commit287--commit288,100
commit288--commit289,96.87220733
commit289--commit290,100
commit290--commit291,100
commit291--commit292,100
commit292--commit293,100
commit293--commit294,100
commit294--commit295,100
commit295--commit296,100
commit296--commit297,100
commit297--commit298,99.82206406
commit298--commit299,100
commit299--commit300,99.91119005
commit300--commit301,100
commit301--commit302,98.76106195
commit302--commit303,99.82363316
commit303--commit304,100
commit304--commit305,99.56101844
commit305--commit306,100
commit306--commit307,100
commit307--commit308,100
commit308--commit309,100
commit309--commit310,92.66666667
commit310--commit311,98.46153846
commit311--commit312,99.01719902
commit312--commit313,100
commit313--commit314,92.66435986
commit314--commit315,100
commit315--commit316,100
commit316--commit317,99.93983153
commit317--commit318,100
commit318--commit319,99.93983153
commit319--commit320,100
commit320--commit321,99.87980769
commit321--commit322,90.90909091
commit322--commit323,100
commit323--commit324,100
commit324--commit325,100
commit325--commit326,100
commit326--commit327,99.76228209
commit327--commit328,97.06325301
commit328--commit329,100
commit329--commit330,90.55374593
commit330--commit331,99.82142857
commit331--commit332,99.82185273
commit332--commit333,100
commit333--commit334,100
commit334--commit335,96.40644362
commit335--commit336,100
commit336--commit337,100
commit337--commit338,100
commit338--commit339,100
commit339--commit340,99.67658473
commit340--commit341,100
commit341--commit342,100
commit342--commit343,94.46974626
commit343--commit344,94.35261708
commit344--commit345,100
commit345--commit346,92.08053691
commit346--commit347,100
commit347--commit348,88.32518337
commit348--commit349,100
commit349--commit350,99.45978391
commit350--commit351,100
commit351--commit352,100
commit352--commit353,100
commit353--commit354,100
commit354--commit355,94.28571429
commit355--commit356,99.28848642
commit356--commit357,100
commit357--commit358,100
commit358--commit359,100
commit359--commit360,100
commit360--commit361,100
commit361--commit362,100
commit362--commit363,95.20884521
commit363--commit364,99.88385598
commit364--commit365,97.27810651
commit365--commit366,96.33786178
commit366--commit367,100
commit367--commit368,92.98874104
commit368--commit369,100
commit369--commit370,100
commit370--commit371,96.40998959
commit371--commit372,100
commit372--commit373,99.45880938
commit373--commit374,100
commit374--commit375,98.55159928
commit375--commit376,98.49124925
commit376--commit377,95.85652443
commit377--commit378,100
commit378--commit379,100
commit379--commit380,95.64660691
commit380--commit381,100
commit381--commit382,100
commit382--commit383,100
commit383--commit384,96.77002584
commit384--commit385,88.35164835
commit385--commit386,100
commit386--commit387,100
commit387--commit388,99.49706622
commit388--commit389,100
commit389--commit390,100
commit390--commit391,100
commit391--commit392,99.66583124
commit392--commit393,95.30201342
commit393--commit394,98.24267782
commit394--commit395,100
commit395--commit396,100
commit396--commit397,99.41908714
commit397--commit398,86.65749656
commit398--commit399,100
commit399--commit400,89.22155689
commit400--commit401,18.35853132
commit401--commit402,100
commit402--commit403,100
commit403--commit404,99.10958904
commit404--commit405,99.72318339
commit405--commit406,100
commit406--commit407,100
commit407--commit408,100
commit408--commit409,91.51472651
commit409--commit410,100
commit410--commit411,97.51420455
commit411--commit412,100
commit412--commit413,100
commit413--commit414,100
commit414--commit415,100
commit415--commit416,96.914446
commit416--commit417,100
commit417--commit418,100
commit418--commit419,100
commit419--commit420,88.093689
commit420--commit421,100
commit421--commit422,99.50829748
commit422--commit423,100
commit423--commit424,90.46717172
commit424--commit425,100
commit425--commit426,100
commit426--commit427,90.33846154
commit427--commit428,100
commit428--commit429,100
commit429--commit430,100
commit430--commit431,100
commit431--commit432,99.47337624
commit432--commit433,100
commit433--commit434,100
commit434--commit435,96.93995381
commit435--commit436,93.55877617
commit436--commit437,100
commit437--commit438,98.8401412
commit438--commit439,100
commit439--commit440,100
commit440--commit441,90.46350559
commit441--commit442,100
commit442--commit443,96.50776053
commit443--commit444,88.35790544
commit444--commit445,100
commit445--commit446,92.24652087
commit446--commit447,100
commit447--commit448,97.96334012
commit448--commit449,99.64592817
commit449--commit450,98.98836621
commit450--commit451,100
commit451--commit452,100
commit452--commit453,100
commit453--commit454,97.61178862
commit454--commit455,100
commit455--commit456,100
commit456--commit457,100
commit457--commit458,93.25301205
commit458--commit459,100
commit459--commit460,100
commit460--commit461,99.95462795
commit461--commit462,100
commit462--commit463,100
commit463--commit464,100
commit464--commit465,92.45657568
commit465--commit466,99.89059081
commit466--commit467,90.8764736
commit467--commit468,100
commit468--commit469,100
commit469--commit470,100
commit470--commit471,100
commit471--commit472,100
commit472--commit473,91.69246646
commit473--commit474,100
commit474--commit475,100
commit475--commit476,18.10132809
commit476--commit477,100
commit477--commit478,100
commit478--commit479,95.57326251
commit479--commit480,96.59239843
commit480--commit481,99.78494624
commit481--commit482,72.47956403
commit482--commit483,99.56458636
commit483--commit484,98.02789803
commit484--commit485,100
commit485--commit486,100
commit486--commit487,100
commit487--commit488,100
commit488--commit489,100
commit489--commit490,99.90503324
commit490--commit491,100
commit491--commit492,99.81060606
commit492--commit493,100
commit493--commit494,100
commit494--commit495,100
commit495--commit496,100
commit496--commit497,100
commit497--commit498,100
commit498--commit499,99.76381672
commit499--commit500,99.90583804
commit500--commit501,99.90601504
commit501--commit502,100
commit502--commit503,98.64104967
commit503--commit504,100
commit504--commit505,100
commit505--commit506,100
commit506--commit507,100
commit507--commit508,97.20568026
commit508--commit509,100
commit509--commit510,97.95918367
commit510--commit511,98.71382637
commit511--commit512,100
commit512--commit513,99.77032614
commit513--commit514,100
commit514--commit515,100
commit515--commit516,94.07951599
commit516--commit517,97.31071576
commit517--commit518,100
commit518--commit519,100
commit519--commit520,96.10220875
commit520--commit521,90.53991694
commit521--commit522,100
commit522--commit523,100
commit523--commit524,100
commit524--commit525,100
commit525--commit526,100
commit526--commit527,100
commit527--commit528,100
commit528--commit529,100
commit529--commit530,97.86740844
commit530--commit531,99.50248756
commit531--commit532,99.72899729
commit532--commit533,97.26851852
commit533--commit534,97.26851852
commit534--commit535,100
commit535--commit536,99.77487618
commit536--commit537,99.7310623
commit537--commit538,99.50584007
commit538--commit539,99.50584007
commit539--commit540,100
commit540--commit541,100
commit541--commit542,100
commit542--commit543,100
commit543--commit544,97.97713281
commit544--commit545,100
commit545--commit546,100
commit546--commit547,100
commit547--commit548,92.72373541
commit548--commit549,98.08940159
commit549--commit550,100
commit550--commit551,100
commit551--commit552,100
commit552--commit553,100
commit553--commit554,90.22967554
commit554--commit555,100
commit555--commit556,100
commit556--commit557,100
commit557--commit558,99.17146974
commit558--commit559,100
commit559--commit560,100
commit560--commit561,100
commit561--commit562,100
commit562--commit563,100
commit563--commit564,99.85652798
commit564--commit565,100
commit565--commit566,100
commit566--commit567,99.85683608
commit567--commit568,98.2869379
commit568--commit569,99.04323175
commit569--commit570,98.84856943
commit570--commit571,96.11817245
commit571--commit572,100
commit572--commit573,100
commit573--commit574,99.83004759
