CommitID,FileNum,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
5ba4a44667f0914d9d9f735ce029b7f908b56ce0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,0,0,0,100
4b96898ccd93668abd71e56c205ca3b226b9f82e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,100
5a4142d7ad8dc454c2d212a929e23cd6a6bb483b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,100
f58cb5eb43769298fe14b942da2af022ed761da4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,100
02eb40e67ebf46aa503f0c354aada29a64efae79,1,21,6,15,0,0,0,1,3,0,1,1,0,191,43,43,31,27,4,1489,1424,65,17,16,1,98.53902345
c5e35262e70570931e24539443854043cdcc530d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,100
6d01a16185eabde5c18765226c38b498f9f9495d,9,313,101,212,1,0,1,1,7,0,1,5,1.841639349,1445,45,45,224,213,11,11731,10623,1108,107,96,11,99.8467433
260460a62ea852d434292342a735b6382aa2cc90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,0,0,100
d8937b0357a337115cc946e7fb3c4f4f8fd101a3,2,34,1,33,0,0,0,1,3,0,1,2,0.951762676,573,47,47,114,110,4,4104,3914,190,84,83,1,100
23eff6d2055a56f88b54022e5ee0f8068816fa37,3,51,17,34,0,0,0,1,5,0,1,2,0.791489087,762,48,48,99,96,3,7039,6768,271,48,47,1,100
caf7aa847d3c90b0b4dbd2d9feb9f9d265b5d158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,0,0,0,0,0,0,0,100
eb55a98e7fe9fb644e3a18f16a8a5796af128713,9,899,20,879,7,0,7,1,5,0,1,5,2.695700604,373,50,50,118,62,56,6350,2662,3688,52,19,33,99.31584949
4d32423dadc1d1ee56a3395d1cdc0e4a83981cbe,30,773,172,601,2,0,2,1,5,0,1,14,3.344839373,4060,51,51,665,623,42,31051,28135,2916,334,314,20,96.19269619
569d193d3a08d15982e943df71e3ede63b521546,11,259,187,72,0,0,0,1,5,0,1,8,2.861781779,2412,52,52,243,235,8,18884,18387,497,108,106,2,100
bf8c8e22c3e2859ed89618d8b6bf5cbd752f0bd0,1,14,1,13,0,0,0,1,6,0,1,1,0,248,53,53,47,44,3,1875,1789,86,27,26,1,100
6adb91c2cf17df4267b9927bac0512730fbad5fd,5,61,7,54,0,0,0,1,7,0,1,2,1.692564583,1071,54,54,187,183,4,8048,7699,349,94,90,4,100
79162ec49881c53a279e7319dcd22c3ce8c12036,2,87,4,83,0,0,0,1,6,0,1,2,0.914589196,375,55,55,45,39,6,3000,2647,353,19,17,2,100
