CommitID,FileNum,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
a1c4dbf3dc366e1bfa16a8dcac43cae50848abe9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,100
9c7846f0aa05573d4de7b4f469b4638de0ba66ae,2,6,2,4,0,0,0,1,2,4,1,1,0.811278124,75,29,24,6,5,1,241,235,6,6,5,1,98.27586207
67c7af8a28b3dd938d4113a8174ee1a34b8d8063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,0,0,0,0,0,0,0,0,0,100
3626d24178d1c972ab3992461c5a4e5d66fbec61,30,455,2122,1667,2,0,2,1,4,0,1,3,4.267292203,1136,31,15,121,215,94,3472,6368,2896,117,206,89,77.38693467
338ebff0be9f1920107f96b2e3ca651c75489622,2,64,28,36,0,0,0,1,6,13,1,2,0.615253891,98,32,14,7,5,2,695,479,216,7,5,2,98.79518072
88401c9f2678e37d89d972414f1e50b90e7ef899,4,26,3,23,0,0,0,1,9,15,1,4,1.931402878,189,33,15,18,15,3,1139,1023,116,15,12,3,100
9369777be3b7b551072398668f9d6c6eebe96cef,1,1,1,0,0,0,0,3,15,29,1,1,0,116,34,16,12,12,0,689,689,0,9,9,0,100
7b15778707d72d606276ce83454feb582dba321e,7,197,5,192,3,0,3,1,16,4,2,6,1.966059411,263,35,17,32,21,11,2139,1349,790,29,18,11,91.22807018
1ab77db70184fd412f98a828309faa26646f4ea2,3,30,28,2,0,0,0,1,17,0,1,2,1.233230506,227,36,18,21,22,1,1216,1214,2,18,19,1,100
9ba33a72be65a57a15a9f7f06b9da492dff229b3,8,145,79,66,1,0,1,1,5,13,1,5,2.727122643,268,37,11,18,16,2,1439,1303,136,18,16,2,95.53072626
3608243b8d6f0996b377e433c2154161f247b9d9,1,27,0,27,1,0,1,1,1,0,1,1,0,0,8,0,0,0,0,39,0,39,0,0,0,97.83783784
ea66c1586adc08a25be097018fa07248ae047909,3,41,62,21,0,0,0,0,13,28,1,2,1.428565419,179,38,11,18,19,1,751,827,76,12,12,0,97.31182796
3508dd03aaf182db6c461a822b5582a9ddd16f87,1,27,0,27,1,0,1,1,1,0,1,1,0,0,39,12,0,0,0,39,0,39,0,0,0,97.86096257
c9ee19ba9a8d53548a5cd5fc31fa63e40efc9a03,40,92,93,1,0,0,0,1,1,0,2,14,4.911696949,1887,9,1,212,240,28,8914,19760,10846,196,240,44,18.27411168
86598ce4103f77670d25c6fabd55824488e9293c,10,275,35,240,4,0,4,1,2,0,2,8,2.708792974,419,10,2,58,38,20,3071,2325,746,41,29,12,94.85981308
310d9c6bcb1d60d43064f54097a5c69bf4339f0b,1,1,1,0,0,0,0,2,3,0,1,1,0,22,40,11,0,0,0,39,39,0,0,0,0,100
c3651abe09354ffeb12cdfd7c4a8044b1aaf2a51,2,117,112,5,0,0,0,2,2,6,1,1,0.749010165,76,41,12,18,18,0,424,417,7,17,18,1,100
33dab9e0e5707590f26be99e33894a420fe78b06,2,142,0,142,2,0,2,1,1,0,1,1,0.900979971,0,42,11,10,0,10,417,0,417,8,0,8,97.81659389
37b018f8ceaf871b9471958e9e30d14a8d60def3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,12,0,0,0,0,0,0,0,0,0,100
2e4485e3e5dba595977b7cbcba483840863e5083,3,62,12,50,1,0,1,1,2,0,1,2,1.534290552,97,44,13,11,10,1,594,417,177,9,8,1,99.15254237
4b8bb5e3e1b1ef845a6075f2163be939d8e3ab64,12,453,263,190,1,0,1,0,3,6,2,7,2.860764169,386,11,3,73,40,33,2837,1406,1431,49,33,16,93.16239316
4393efa54ad11f9e4fcb9bdb77156a963827ee78,5,309,112,197,3,0,3,1,2,2,2,3,2.060429625,76,12,4,29,18,11,1018,417,601,26,18,8,97.0464135
6a68a41d14a58cb6631443ee0a02e6769d2d2920,10,105,390,285,2,0,2,1,3,0,1,8,2.457550528,449,45,8,13,55,42,831,2420,1589,9,31,22,94.69387755
c796a2cc40a24f3c74456f28605a71210f587506,8,390,3,387,2,0,2,1,3,6,1,6,1.911487188,171,46,9,55,11,44,2420,388,2032,31,7,24,96.38554217
779a101f1231bea94fd764489519b8b1e756041f,5,270,64,206,2,0,2,1,3,12,1,2,2.142694924,139,47,10,33,11,22,1166,594,572,31,9,22,97.66536965
24a9814b9a6822254113ca3261868c347748e9fa,1,7,8,1,0,0,0,2,4,20,1,1,0,174,48,11,23,23,0,1234,1238,4,11,11,0,99.61832061
1981f0050bd821fe87513f29e545d3e2a702f62e,8,241,31,210,1,0,1,2,3,24,2,5,2.477764976,446,49,12,71,50,21,3434,2196,1238,45,36,9,94.27480916
b5baefbdbe4ab3bb319dbdcdd116bb527a1929e1,1,4,0,4,0,0,0,2,4,5,1,1,0,177,50,10,22,21,1,1371,1335,36,9,9,0,100
13170c93114520e53fd399c3fa598ea1c8973a9e,1,4,2,2,0,0,0,2,3,6,1,1,0,62,51,11,4,4,0,327,317,10,4,4,0,100
70513a130ac4d9a2e4af1851ffa227051e810257,1,4,3,1,0,0,0,2,4,0,1,1,0,64,52,11,4,4,0,323,327,4,4,4,0,100
8d2f0649abaeb01fc0e78b6979b8c84c9aced7e0,5,75,3,72,0,0,0,2,4,39,2,5,1.657796482,371,53,4,47,41,6,2298,1924,374,35,33,2,98.47328244
c7c2d9f814e3a823c1ad065d8b9232c09766096f,6,28,59,31,0,0,0,1,5,36,1,5,1.978249274,319,54,4,24,24,0,1545,1829,284,18,18,0,92.5
f82aed86c6076c31773f68ed3758ff01651d359b,59,4491,0,4491,59,0,59,1,1,0,1,5,5.625127431,0,55,5,423,0,423,15317,0,15317,376,0,376,64.12776413
