,FCA
index,A2A
commit291--commit292,99.91941982
commit292--commit293,100
commit293--commit294,100
commit294--commit295,100
commit295--commit296,100
commit296--commit297,100
commit297--commit298,100
commit298--commit299,100
commit299--commit300,100
commit300--commit301,95.84830339
commit301--commit302,95.84830339
commit302--commit303,100
commit303--commit304,100
commit304--commit305,100
commit305--commit306,99.7188755
commit306--commit307,100
commit307--commit308,89.23140156
commit308--commit309,89.20477956
commit309--commit310,99.7188755
commit310--commit311,99.7188755
commit311--commit312,99.7188755
commit312--commit313,99.7188755
commit313--commit314,99.7188755
commit314--commit315,100
commit315--commit316,94.11764706
commit316--commit317,100
commit317--commit318,94.44657219
commit318--commit319,89.12783751
commit319--commit320,92.59109312
commit320--commit321,100
commit321--commit322,100
commit322--commit323,91.08181466
commit323--commit324,93.96946565
commit324--commit325,94.44657219
commit325--commit326,100
commit326--commit327,100
commit327--commit328,100
commit328--commit329,94.25067076
commit329--commit330,97.08398134
commit330--commit331,94.11764706
commit331--commit332,100
commit332--commit333,96.10894942
commit333--commit334,100
commit334--commit335,100
commit335--commit336,100
commit336--commit337,100
commit337--commit338,100
commit338--commit339,100
commit339--commit340,100
commit340--commit341,100
commit341--commit342,87.09802402
commit342--commit343,87.09802402
commit343--commit344,87.13178295
commit344--commit345,87.13178295
commit345--commit346,86.84210526
commit346--commit347,86.84210526
commit347--commit348,100
commit348--commit349,100
commit349--commit350,84.64912281
commit350--commit351,84.64912281
commit351--commit352,100
commit352--commit353,90.41778459
commit353--commit354,90.41778459
commit354--commit355,100
commit355--commit356,100
commit356--commit357,100
commit357--commit358,100
commit358--commit359,100
commit359--commit360,100
commit360--commit361,90.6559878
commit361--commit362,98.65370232
commit362--commit363,90.2738764
commit363--commit364,91.04056437
commit364--commit365,87.51322751
commit365--commit366,89.3776824
commit366--commit367,99.96108949
commit367--commit368,100
commit368--commit369,99.96108949
commit369--commit370,91.23612706
commit370--commit371,91.23612706
commit371--commit372,100
commit372--commit373,90.6559878
commit373--commit374,99.14050822
commit374--commit375,90.70121951
commit375--commit376,100
commit376--commit377,100
commit377--commit378,100
commit378--commit379,100
commit379--commit380,100
commit380--commit381,100
commit381--commit382,100
commit382--commit383,100
commit383--commit384,90.70121951
commit384--commit385,90.70121951
commit385--commit386,91.16634799
commit386--commit387,91.16634799
commit387--commit388,100
commit388--commit389,100
commit389--commit390,100
commit390--commit391,90.72948328
commit391--commit392,90.72948328
commit392--commit393,99.96108949
commit393--commit394,90.72948328
commit394--commit395,100
commit395--commit396,90.6190657
commit396--commit397,100
commit397--commit398,100
commit398--commit399,100
commit399--commit400,99.7277324
commit400--commit401,99.7277324
commit401--commit402,100
commit402--commit403,100
commit403--commit404,99.7277324
commit404--commit405,99.7277324
commit405--commit406,99.7277324
commit406--commit407,90.72948328
commit407--commit408,90.72948328
commit408--commit409,99.7277324
commit409--commit410,100
commit410--commit411,100
commit411--commit412,100
commit412--commit413,100
commit413--commit414,100
commit414--commit415,100
commit415--commit416,100
commit416--commit417,99.65034965
commit417--commit418,90.07067138
commit418--commit419,100
commit419--commit420,100
commit420--commit421,100
commit421--commit422,89.99292786
commit422--commit423,90.0098264
commit423--commit424,90.0098264
commit424--commit425,99.65034965
commit425--commit426,99.72836632
commit426--commit427,90.86429113
commit427--commit428,100
commit428--commit429,92.28640609
commit429--commit430,89.93288591
commit430--commit431,99.80590062
commit431--commit432,99.80590062
commit432--commit433,100
commit433--commit434,100
commit434--commit435,100
commit435--commit436,100
commit436--commit437,100
commit437--commit438,99.84466019
commit438--commit439,100
commit439--commit440,99.84466019
commit440--commit441,99.84466019
commit441--commit442,100
commit442--commit443,99.84466019
commit443--commit444,100
commit444--commit445,99.88367584
commit445--commit446,90.35587189
commit446--commit447,100
commit447--commit448,90.44903778
commit448--commit449,100
commit449--commit450,90.44903778
commit450--commit451,100
commit451--commit452,99.76950938
commit452--commit453,99.90115321
commit453--commit454,90.65620542
commit454--commit455,100
commit455--commit456,90.65620542
commit456--commit457,90.56267806
commit457--commit458,99.72826087
commit458--commit459,100
commit459--commit460,90.65620542
commit460--commit461,100
commit461--commit462,87.88461538
commit462--commit463,100
commit463--commit464,89.23884514
commit464--commit465,89.23884514
commit465--commit466,89.23884514
commit466--commit467,86.94779116
commit467--commit468,95.90371622
commit468--commit469,95.8245466
commit469--commit470,100
commit470--commit471,86.88327316
commit471--commit472,100
commit472--commit473,99.41642351
commit473--commit474,100
commit474--commit475,89.50471698
commit475--commit476,90.70208729
commit476--commit477,86.6586054
commit477--commit478,86.6586054
commit478--commit479,86.6586054
commit479--commit480,86.59959759
commit480--commit481,86.59959759
commit481--commit482,100
commit482--commit483,100
commit483--commit484,86.5942029
commit484--commit485,100
commit485--commit486,86.5942029
commit486--commit487,100
commit487--commit488,86.5942029
commit488--commit489,100
commit489--commit490,100
commit490--commit491,92.35364397
commit491--commit492,92.31687898
commit492--commit493,100
commit493--commit494,86.41651032
commit494--commit495,100
commit495--commit496,92.17898833
commit496--commit497,92.17898833
commit497--commit498,99.9272198
commit498--commit499,86.08499436
commit499--commit500,86.08499436
commit500--commit501,86.25093914
commit501--commit502,86.25093914
commit502--commit503,100
commit503--commit504,100
commit504--commit505,100
commit505--commit506,100
commit506--commit507,100
commit507--commit508,100
commit508--commit509,100
commit509--commit510,100
commit510--commit511,100
commit511--commit512,100
commit512--commit513,100
commit513--commit514,100
commit514--commit515,100
commit515--commit516,100
commit516--commit517,100
commit517--commit518,100
commit518--commit519,100
commit519--commit520,100
commit520--commit521,100
commit521--commit522,100
commit522--commit523,100
commit523--commit524,100
commit524--commit525,100
commit525--commit526,100
commit526--commit527,100
commit527--commit528,100
commit528--commit529,100
commit529--commit530,100
commit530--commit531,100
commit531--commit532,100
commit532--commit533,100
commit533--commit534,100
commit534--commit535,100
commit535--commit536,100
commit536--commit537,100
commit537--commit538,100
commit538--commit539,92.28837877
commit539--commit540,93.21387724
commit540--commit541,91.90549961
commit541--commit542,100
commit542--commit543,93.55524079
commit543--commit544,97.01906412
commit544--commit545,100
commit545--commit546,91.59843361
commit546--commit547,99.89078995
commit547--commit548,99.89078995
commit548--commit549,100
commit549--commit550,99.89078995
commit550--commit551,99.89078995
commit551--commit552,100
commit552--commit553,100
commit553--commit554,100
commit554--commit555,91.5658363
commit555--commit556,91.5658363
commit556--commit557,100
commit557--commit558,100
commit558--commit559,91.90549961
commit559--commit560,91.90549961
commit560--commit561,99.89078995
commit561--commit562,99.89078995
commit562--commit563,91.59843361
commit563--commit564,94.85693589
commit564--commit565,100
commit565--commit566,100
commit566--commit567,95.52184904
commit567--commit568,96.37430939
commit568--commit569,98.64111498
commit569--commit570,95.80924855
commit570--commit571,100
commit571--commit572,94.04672193
commit572--commit573,89.27503737
commit573--commit574,99.89078995
commit574--commit575,100
commit575--commit576,100
commit576--commit577,100
commit577--commit578,87.653874
commit578--commit579,87.653874
commit579--commit580,91.75972276
commit580--commit581,100
commit581--commit582,91.60569888
commit582--commit583,99.14814815
commit583--commit584,99
commit584--commit585,99.89078995
commit585--commit586,99.89078995
commit586--commit587,86.9145513
commit587--commit588,100
commit588--commit589,85.74026919
commit589--commit590,100
commit590--commit591,100
commit591--commit592,100
commit592--commit593,99.69834087
commit593--commit594,100
commit594--commit595,85.44925427
commit595--commit596,100
commit596--commit597,100
commit597--commit598,90.90242113
commit598--commit599,90.83241657
commit599--commit600,100
commit600--commit601,85.41818182
commit601--commit602,85.35610465
commit602--commit603,100
commit603--commit604,85.35610465
commit604--commit605,100
commit605--commit606,88.55077976
commit606--commit607,88.55077976
commit607--commit608,91.21912975
commit608--commit609,91.68591224
commit609--commit610,86.77626876
commit610--commit611,100
commit611--commit612,100
commit612--commit613,100
commit613--commit614,99.36686599
commit614--commit615,100
commit615--commit616,100
commit616--commit617,85.34985423
commit617--commit618,100
commit618--commit619,85.34985423
commit619--commit620,85.34985423
commit620--commit621,100
commit621--commit622,100
commit622--commit623,100
commit623--commit624,100
commit624--commit625,100
commit625--commit626,86.37266587
commit626--commit627,87.65810655
commit627--commit628,100
commit628--commit629,99.36686599
commit629--commit630,99.36686599
commit630--commit631,85.34985423
commit631--commit632,100
commit632--commit633,85.34985423
commit633--commit634,86.13400215
commit634--commit635,98.59207114
commit635--commit636,100
commit636--commit637,85.38713195
commit637--commit638,99.36686599
commit638--commit639,100
commit639--commit640,85.34985423
commit640--commit641,100
commit641--commit642,85.28769119
commit642--commit643,85.28769119
commit643--commit644,100
commit644--commit645,86.79245283
commit645--commit646,88.58984079
commit646--commit647,100
commit647--commit648,85.28769119
commit648--commit649,100
commit649--commit650,100
commit650--commit651,100
commit651--commit652,100
commit652--commit653,100
commit653--commit654,100
commit654--commit655,100
commit655--commit656,100
commit656--commit657,85.47486034
commit657--commit658,100
commit658--commit659,97.62504498
commit659--commit660,97.62504498
commit660--commit661,100
commit661--commit662,85.47486034
commit662--commit663,100
commit663--commit664,85.47486034
commit664--commit665,88.1645324
commit665--commit666,88.04858934
commit666--commit667,88.04858934
commit667--commit668,88.14729574
commit668--commit669,100
commit669--commit670,86.26151013
commit670--commit671,100
commit671--commit672,100
commit672--commit673,100
commit673--commit674,100
commit674--commit675,100
commit675--commit676,100
commit676--commit677,100
commit677--commit678,100
commit678--commit679,100
commit679--commit680,100
commit680--commit681,100
commit681--commit682,100
commit682--commit683,85.71428571
commit683--commit684,100
commit684--commit685,96.91313711
commit685--commit686,96.91313711
commit686--commit687,100
commit687--commit688,100
commit688--commit689,100
commit689--commit690,85.71428571
commit690--commit691,100
commit691--commit692,100
commit692--commit693,100
commit693--commit694,85.71428571
commit694--commit695,100
commit695--commit696,85.71428571
commit696--commit697,85.71428571
commit697--commit698,85.71428571
commit698--commit699,100
commit699--commit700,85.71428571
commit700--commit701,87.91586998
commit701--commit702,87.91586998
commit702--commit703,99.92846924
commit703--commit704,100
commit704--commit705,99.92846924
commit705--commit706,100
commit706--commit707,99.92846924
commit707--commit708,85.65137615
commit708--commit709,86.79245283
commit709--commit710,100
commit710--commit711,87.63045999
commit711--commit712,97.07158351
commit712--commit713,99.92846924
commit713--commit714,97.14595376
commit714--commit715,99.56331878
commit715--commit716,100
commit716--commit717,99.60043589
commit717--commit718,86.54129794
commit718--commit719,86.41141141
commit719--commit720,100
commit720--commit721,100
commit721--commit722,85.77777778
commit722--commit723,85.77777778
commit723--commit724,85.66135606
commit724--commit725,99.85433358
commit725--commit726,100
commit726--commit727,83.64755675
commit727--commit728,91.22257053
commit728--commit729,100
commit729--commit730,100
commit730--commit731,100
commit731--commit732,85.55020378
commit732--commit733,83.64755675
commit733--commit734,84.77099237
commit734--commit735,98.01228768
commit735--commit736,100
commit736--commit737,85.55020378
commit737--commit738,100
commit738--commit739,85.55020378
commit739--commit740,86.81064404
commit740--commit741,100
commit741--commit742,86.81064404
commit742--commit743,100
commit743--commit744,85.55020378
commit744--commit745,100
commit745--commit746,86.72427337
commit746--commit747,86.81064404
commit747--commit748,100
commit748--commit749,86.81064404
commit749--commit750,100
commit750--commit751,86.72427337
commit751--commit752,85.55020378
commit752--commit753,99.81798325
commit753--commit754,99.34330536
commit754--commit755,99.63423555
commit755--commit756,97.16885743
commit756--commit757,100
commit757--commit758,85.78263841
commit758--commit759,85.22349464
commit759--commit760,85.22349464
commit760--commit761,83.90510949
commit761--commit762,94.99836548
commit762--commit763,93.33996024
