Atlas,Avro,Chukwa,Crunch,Curator,Datafu,Eagle,Eventmesh,Falcon,Flume,Giraph,Gora,Hama,Inlong,Knox,Kylin,Mahout,Metron,Mina,Oltu,Openjpa,Opennlp,Pig,Ratis,Sedona,Sentry,Struts,Submarine,Tiles,Zookeeper
100,100,100,100,100,99.02912621,99.85255087,100,100,100,100,100,100,100,98.1981982,100,100,100,100,100,100,100,100,100,96.2962963,100,99.93666878,100,100,100
100,100,100,100,100,99.04761905,98.76058041,100,100,100,100,99.71014493,100,100,100,100,100,100,100,95.3125,100,100,100,97.39130435,100,94.28571429,99.93666878,100,100,100
80.55555556,100,100,100,100,97.08737864,100,100,100,99.4650363,97.6076555,100,100,100,98.74551971,100,100,15.24008351,100,96.875,95.82654059,100,100,71.96969697,100,97.83783784,100,100,100,100
82.53968254,100,100,100,100,97.08737864,98.67189858,99.78354978,95,100,100,100,100,100,100,100,90.81967213,100,100,97.05882353,99.96405464,100,100,89.08045977,100,100,100,100,100,100
100,97.1659919,100,100,24.70588235,100,100,99.78354978,100,96.85658153,100,100,100,100,89.18918919,100,100,15.24008351,100,97.22222222,95.76133029,100,100,97.08737864,100,100,100,100,100,100
30.44982699,100,100,100,100,100,98.67189858,100,95,100,100,100,100,100,99.35794543,100,100,15.04702194,100,94.80519481,100,100,100,98.13953488,100,98.39572193,100,100,100,100
71.68367347,100,100,100,100,97.08737864,97.51199041,100,100,97.10202461,100,100,100,94.26280074,100,100,100,100,100,97.56097561,100,100,100,98.2300885,100,100,100,100,100,100
100,97.265625,97.97979798,100,100,97.08737864,98.69008634,100,100,100,100,100,100,100,98.2428115,100,99.35483871,15.04702194,99.23954373,97.6744186,99.82121573,100,100,98.27586207,100,98.93617021,100,100,100,92.53012048
100,100,100,100,100,100,98.80110667,100,100,99.84459984,95.30516432,100,100,100,95.51083591,100,86.26865672,15.04702194,96.95387293,100,100,100,100,94.11764706,100,100,100,100,100,100
45.34313725,100,99.77375566,100,100,100,98.80110667,100,100,100,98.17351598,100,99.20634921,94.26280074,99.54614221,100,87.96296296,100,100,97.77777778,100,100,90.90909091,98.37398374,94.23076923,100,100,100,100,100
