,FCA
index,A2A
commit263--commit264,100
commit264--commit265,100
commit265--commit266,100
commit266--commit267,100
commit267--commit268,100
commit268--commit269,100
commit269--commit270,100
commit270--commit271,100
commit271--commit272,99.73495892
commit272--commit273,99.84072206
commit273--commit274,100
commit274--commit275,100
commit275--commit276,100
commit276--commit277,100
commit277--commit278,100
commit278--commit279,100
commit279--commit280,100
commit280--commit281,99.08064092
commit281--commit282,100
commit282--commit283,100
commit283--commit284,100
commit284--commit285,97.57642523
commit285--commit286,100
commit286--commit287,100
commit287--commit288,100
commit288--commit289,100
commit289--commit290,100
commit290--commit291,100
commit291--commit292,99.94148625
commit292--commit293,100
commit293--commit294,100
commit294--commit295,100
commit295--commit296,99.09988386
commit296--commit297,100
commit297--commit298,99.53943581
commit298--commit299,100
commit299--commit300,100
commit300--commit301,100
commit301--commit302,100
commit302--commit303,100
commit303--commit304,100
commit304--commit305,100
commit305--commit306,100
commit306--commit307,99.88505747
commit307--commit308,100
commit308--commit309,100
commit309--commit310,99.82798165
commit310--commit311,100
commit311--commit312,100
commit312--commit313,100
commit313--commit314,100
commit314--commit315,100
commit315--commit316,100
commit316--commit317,100
commit317--commit318,100
commit318--commit319,100
commit319--commit320,100
commit320--commit321,100
commit321--commit322,100
commit322--commit323,100
commit323--commit324,100
commit324--commit325,100
commit325--commit326,100
commit326--commit327,100
commit327--commit328,100
commit328--commit329,100
commit329--commit330,100
commit330--commit331,100
commit331--commit332,100
commit332--commit333,100
commit333--commit334,100
commit334--commit335,100
commit335--commit336,100
commit336--commit337,100
commit337--commit338,100
commit338--commit339,100
commit339--commit340,100
commit340--commit341,100
commit341--commit342,100
commit342--commit343,100
commit343--commit344,100
commit344--commit345,100
commit345--commit346,100
commit346--commit347,100
commit347--commit348,100
commit348--commit349,100
commit349--commit350,100
commit350--commit351,100
commit351--commit352,100
commit352--commit353,100
commit353--commit354,100
commit354--commit355,100
commit355--commit356,100
commit356--commit357,100
commit357--commit358,100
commit358--commit359,100
commit359--commit360,100
commit360--commit361,100
commit361--commit362,100
commit362--commit363,100
commit363--commit364,100
commit364--commit365,100
commit365--commit366,100
commit366--commit367,100
commit367--commit368,100
commit368--commit369,100
commit369--commit370,100
commit370--commit371,100
commit371--commit372,100
commit372--commit373,100
commit373--commit374,100
commit374--commit375,100
commit375--commit376,100
commit376--commit377,100
commit377--commit378,100
commit378--commit379,100
commit379--commit380,100
commit380--commit381,100
commit381--commit382,100
commit382--commit383,100
commit383--commit384,100
commit384--commit385,100
commit385--commit386,100
commit386--commit387,100
commit387--commit388,100
commit388--commit389,100
commit389--commit390,100
commit390--commit391,100
commit391--commit392,99.56995413
commit392--commit393,100
commit393--commit394,100
commit394--commit395,100
commit395--commit396,100
commit396--commit397,100
commit397--commit398,100
commit398--commit399,99.45165945
commit399--commit400,100
commit400--commit401,100
commit401--commit402,99.70972424
commit402--commit403,100
commit403--commit404,100
commit404--commit405,100
commit405--commit406,98.87608069
commit406--commit407,100
commit407--commit408,100
commit408--commit409,100
commit409--commit410,100
commit410--commit411,100
commit411--commit412,100
commit412--commit413,100
commit413--commit414,99.74189848
commit414--commit415,100
commit415--commit416,100
commit416--commit417,100
commit417--commit418,99.68308845
commit418--commit419,100
commit419--commit420,100
commit420--commit421,99.9422966
commit421--commit422,100
commit422--commit423,100
commit423--commit424,100
commit424--commit425,100
commit425--commit426,99.79832901
commit426--commit427,100
commit427--commit428,100
commit428--commit429,100
commit429--commit430,100
commit430--commit431,100
commit431--commit432,100
commit432--commit433,99.65576592
commit433--commit434,100
commit434--commit435,100
commit435--commit436,100
commit436--commit437,100
commit437--commit438,100
commit438--commit439,100
commit439--commit440,100
commit440--commit441,100
commit441--commit442,100
commit442--commit443,99.88574693
commit443--commit444,100
commit444--commit445,100
commit445--commit446,100
commit446--commit447,100
commit447--commit448,100
commit448--commit449,100
commit449--commit450,100
commit450--commit451,97.76504298
commit451--commit452,98.15880322
commit452--commit453,100
commit453--commit454,100
commit454--commit455,32.75007291
commit455--commit456,99.05381431
commit456--commit457,87.07602339
commit457--commit458,99.97108155
commit458--commit459,100
commit459--commit460,100
commit460--commit461,100
commit461--commit462,100
commit462--commit463,100
commit463--commit464,100
commit464--commit465,100
commit465--commit466,99.94219653
commit466--commit467,100
commit467--commit468,100
commit468--commit469,99.65217391
commit469--commit470,100
commit470--commit471,100
commit471--commit472,100
commit472--commit473,99.70862471
commit473--commit474,100
commit474--commit475,100
commit475--commit476,100
commit476--commit477,100
commit477--commit478,100
commit478--commit479,99.79532164
commit479--commit480,100
commit480--commit481,99.94138335
commit481--commit482,100
commit482--commit483,96.32078183
commit483--commit484,100
commit484--commit485,100
commit485--commit486,100
commit486--commit487,100
commit487--commit488,100
commit488--commit489,99.35592271
commit489--commit490,100
commit490--commit491,100
commit491--commit492,99.72175849
commit492--commit493,100
commit493--commit494,100
commit494--commit495,100
commit495--commit496,100
commit496--commit497,100
commit497--commit498,100
commit498--commit499,100
commit499--commit500,100
commit500--commit501,100
commit501--commit502,100
commit502--commit503,100
commit503--commit504,99.80523094
commit504--commit505,100
commit505--commit506,100
commit506--commit507,100
commit507--commit508,96.51100376
commit508--commit509,100
commit509--commit510,100
commit510--commit511,100
commit511--commit512,99.89631934
commit512--commit513,100
commit513--commit514,100
commit514--commit515,100
commit515--commit516,100
commit516--commit517,100
commit517--commit518,98.54612741
commit518--commit519,100
commit519--commit520,100
commit520--commit521,100
commit521--commit522,100
commit522--commit523,99.94609164
commit523--commit524,100
commit524--commit525,100
commit525--commit526,100
commit526--commit527,100
commit527--commit528,100
commit528--commit529,100
commit529--commit530,100
commit530--commit531,99.9192028
commit531--commit532,99.34941719
commit532--commit533,100
commit533--commit534,100
commit534--commit535,100
commit535--commit536,99.26829268
commit536--commit537,100
commit537--commit538,100
commit538--commit539,100
commit539--commit540,100
commit540--commit541,100
commit541--commit542,100
commit542--commit543,100
commit543--commit544,97.94308256
commit544--commit545,100
commit545--commit546,100
commit546--commit547,100
commit547--commit548,99.61549837
commit548--commit549,100
commit549--commit550,100
commit550--commit551,100
commit551--commit552,100
commit552--commit553,100
commit553--commit554,100
commit554--commit555,99.25925926
commit555--commit556,100
commit556--commit557,100
commit557--commit558,100
commit558--commit559,100
commit559--commit560,100
commit560--commit561,100
commit561--commit562,100
commit562--commit563,100
commit563--commit564,97.74520857
commit564--commit565,100
commit565--commit566,99.81248326
commit566--commit567,100
commit567--commit568,100
commit568--commit569,100
commit569--commit570,99.89304813
commit570--commit571,100
commit571--commit572,99.94655265
commit572--commit573,100
commit573--commit574,99.09718534
commit574--commit575,100
commit575--commit576,100
commit576--commit577,100
commit577--commit578,100
commit578--commit579,99.13157895
commit579--commit580,100
commit580--commit581,100
commit581--commit582,99.8951782
commit582--commit583,99.84301413
commit583--commit584,100
commit584--commit585,99.40150924
commit585--commit586,100
commit586--commit587,100
commit587--commit588,100
commit588--commit589,100
commit589--commit590,100
commit590--commit591,99.84476067
commit591--commit592,100
commit592--commit593,100
commit593--commit594,100
commit594--commit595,100
commit595--commit596,100
commit596--commit597,99.69064192
commit597--commit598,100
commit598--commit599,100
commit599--commit600,100
commit600--commit601,100
commit601--commit602,99.8716303
commit602--commit603,100
commit603--commit604,99.53632148
commit604--commit605,99.94826694
commit605--commit606,99.87090111
commit606--commit607,100
commit607--commit608,100
commit608--commit609,100
commit609--commit610,100
commit610--commit611,100
commit611--commit612,100
commit612--commit613,100
commit613--commit614,100
commit614--commit615,100
commit615--commit616,100
commit616--commit617,100
commit617--commit618,100
commit618--commit619,100
commit619--commit620,100
commit620--commit621,100
commit621--commit622,99.21793535
commit622--commit623,100
commit623--commit624,100
commit624--commit625,100
commit625--commit626,100
commit626--commit627,100
commit627--commit628,100
commit628--commit629,100
commit629--commit630,100
commit630--commit631,99.94731296
commit631--commit632,99.89468141
commit632--commit633,100
commit633--commit634,100
commit634--commit635,100
commit635--commit636,98.74733475
commit636--commit637,99.35639582
commit637--commit638,100
commit638--commit639,100
commit639--commit640,100
commit640--commit641,100
commit641--commit642,99.73411327
commit642--commit643,100
commit643--commit644,100
commit644--commit645,100
commit645--commit646,100
commit646--commit647,100
commit647--commit648,100
commit648--commit649,100
commit649--commit650,100
commit650--commit651,100
commit651--commit652,100
commit652--commit653,100
commit653--commit654,100
commit654--commit655,100
commit655--commit656,100
commit656--commit657,96.8983661
commit657--commit658,96.8983661
commit658--commit659,97.03622393
commit659--commit660,99.74424552
commit660--commit661,99.80119284
commit661--commit662,99.49037373
commit662--commit663,99.32241671
commit663--commit664,100
commit664--commit665,100
commit665--commit666,100
commit666--commit667,99.7741389
commit667--commit668,100
commit668--commit669,100
commit669--commit670,99.8019802
commit670--commit671,100
commit671--commit672,100
commit672--commit673,100
commit673--commit674,100
commit674--commit675,100
commit675--commit676,100
commit676--commit677,100
commit677--commit678,100
commit678--commit679,100
commit679--commit680,100
commit680--commit681,100
commit681--commit682,100
commit682--commit683,100
commit683--commit684,100
commit684--commit685,100
commit685--commit686,100
commit686--commit687,100
commit687--commit688,100
commit688--commit689,100
commit689--commit690,100
commit690--commit691,99.94334278
commit691--commit692,100
commit692--commit693,99.88665344
commit693--commit694,100
commit694--commit695,100
commit695--commit696,100
commit696--commit697,100
commit697--commit698,100
commit698--commit699,100
commit699--commit700,100
commit700--commit701,100
commit701--commit702,100
commit702--commit703,100
commit703--commit704,100
commit704--commit705,100
commit705--commit706,100
commit706--commit707,100
commit707--commit708,100
commit708--commit709,100
commit709--commit710,100
commit710--commit711,100
commit711--commit712,100
commit712--commit713,100
commit713--commit714,100
commit714--commit715,100
commit715--commit716,100
commit716--commit717,100
commit717--commit718,100
commit718--commit719,100
commit719--commit720,100
commit720--commit721,100
commit721--commit722,100
commit722--commit723,100
commit723--commit724,100
commit724--commit725,98.23953824
commit725--commit726,100
commit726--commit727,100
commit727--commit728,100
commit728--commit729,100
commit729--commit730,100
commit730--commit731,100
commit731--commit732,100
commit732--commit733,100
commit733--commit734,100
commit734--commit735,99.61954931
commit735--commit736,99.13219555
commit736--commit737,99.7410817
commit737--commit738,99.88465975
commit738--commit739,100
commit739--commit740,100
commit740--commit741,100
commit741--commit742,98.73125721
commit742--commit743,99.24484461
commit743--commit744,99.38917976
commit744--commit745,99.82673982
commit745--commit746,100
commit746--commit747,99.65397924
commit747--commit748,100
commit748--commit749,100
commit749--commit750,99.56634866
commit750--commit751,99.22010399
commit751--commit752,100
commit752--commit753,100
commit753--commit754,97.69850403
commit754--commit755,100
commit755--commit756,98.61989649
commit756--commit757,99.39533544
commit757--commit758,96.65016021
commit758--commit759,96.65016021
commit759--commit760,99.65397924
commit760--commit761,100
commit761--commit762,99.42329873
commit762--commit763,100
commit763--commit764,99.85603225
commit764--commit765,99.65497412
commit765--commit766,100
commit766--commit767,100
commit767--commit768,100
commit768--commit769,100
commit769--commit770,100
commit770--commit771,100
commit771--commit772,100
commit772--commit773,100
commit773--commit774,100
commit774--commit775,100
commit775--commit776,100
commit776--commit777,99.76998275
commit777--commit778,99.68472342
commit778--commit779,100
commit779--commit780,99.59988568
commit780--commit781,100
commit781--commit782,100
commit782--commit783,100
commit783--commit784,99.94285714
commit784--commit785,100
commit785--commit786,100
commit786--commit787,100
commit787--commit788,100
commit788--commit789,100
commit789--commit790,100
commit790--commit791,100
commit791--commit792,100
commit792--commit793,100
commit793--commit794,97.03703704
commit794--commit795,100
commit795--commit796,100
commit796--commit797,99.94318182
commit797--commit798,100
commit798--commit799,100
commit799--commit800,100
commit800--commit801,96.95590327
commit801--commit802,96.89370191
commit802--commit803,100
commit803--commit804,100
commit804--commit805,100
commit805--commit806,100
commit806--commit807,100
commit807--commit808,100
commit808--commit809,100
commit809--commit810,100
commit810--commit811,100
commit811--commit812,100
commit812--commit813,100
commit813--commit814,99.97150997
commit814--commit815,100
commit815--commit816,100
commit816--commit817,100
commit817--commit818,100
commit818--commit819,100
commit819--commit820,100
commit820--commit821,100
commit821--commit822,100
commit822--commit823,100
commit823--commit824,100
commit824--commit825,100
commit825--commit826,100
commit826--commit827,100
commit827--commit828,100
commit828--commit829,100
commit829--commit830,100
commit830--commit831,100
commit831--commit832,100
commit832--commit833,100
commit833--commit834,100
commit834--commit835,100
commit835--commit836,100
commit836--commit837,100
commit837--commit838,99.85775249
commit838--commit839,100
commit839--commit840,100
commit840--commit841,99.48571429
commit841--commit842,100
commit842--commit843,100
commit843--commit844,99.62750716
commit844--commit845,100
commit845--commit846,100
commit846--commit847,100
commit847--commit848,100
commit848--commit849,99.88584475
commit849--commit850,100
commit850--commit851,100
commit851--commit852,100
commit852--commit853,100
commit853--commit854,100
commit854--commit855,100
commit855--commit856,100
commit856--commit857,100
commit857--commit858,100
commit858--commit859,100
commit859--commit860,100
commit860--commit861,100
commit861--commit862,100
commit862--commit863,100
commit863--commit864,100
commit864--commit865,100
commit865--commit866,100
commit866--commit867,100
commit867--commit868,100
commit868--commit869,100
commit869--commit870,100
commit870--commit871,99.48527309
commit871--commit872,98.91768727
commit872--commit873,99.15062288
commit873--commit874,100
commit874--commit875,100
commit875--commit876,100
commit876--commit877,98.95154435
commit877--commit878,99.1766042
commit878--commit879,100
commit879--commit880,100
commit880--commit881,100
commit881--commit882,100
commit882--commit883,100
commit883--commit884,100
commit884--commit885,100
commit885--commit886,99.77233921
commit886--commit887,100
commit887--commit888,100
commit888--commit889,100
commit889--commit890,98.41359773
commit890--commit891,100
commit891--commit892,100
commit892--commit893,100
commit893--commit894,100
commit894--commit895,98.23448276
commit895--commit896,100
commit896--commit897,100
commit897--commit898,100
commit898--commit899,100
commit899--commit900,100
commit900--commit901,100
commit901--commit902,99.78401728
commit902--commit903,99.89197948
commit903--commit904,100
commit904--commit905,99.91898461
commit905--commit906,100
commit906--commit907,99.86504723
commit907--commit908,100
commit908--commit909,100
commit909--commit910,100
commit910--commit911,100
commit911--commit912,100
commit912--commit913,100
commit913--commit914,100
commit914--commit915,100
commit915--commit916,99.94606257
commit916--commit917,100
commit917--commit918,100
commit918--commit919,100
commit919--commit920,100
commit920--commit921,100
commit921--commit922,100
commit922--commit923,100
commit923--commit924,100
commit924--commit925,100
commit925--commit926,100
commit926--commit927,99.94606257
commit927--commit928,100
commit928--commit929,100
commit929--commit930,100
commit930--commit931,99.97301673
commit931--commit932,100
commit932--commit933,100
commit933--commit934,100
commit934--commit935,100
commit935--commit936,100
commit936--commit937,100
commit937--commit938,100
commit938--commit939,100
commit939--commit940,99.89189189
commit940--commit941,100
commit941--commit942,100
commit942--commit943,100
commit943--commit944,100
commit944--commit945,99.73024009
commit945--commit946,100
commit946--commit947,100
commit947--commit948,100
commit948--commit949,100
commit949--commit950,100
commit950--commit951,99.86577181
commit951--commit952,99.94635193
commit952--commit953,100
commit953--commit954,100
commit954--commit955,100
commit955--commit956,100
commit956--commit957,100
commit957--commit958,100
commit958--commit959,100
commit959--commit960,99.62566845
commit960--commit961,100
commit961--commit962,100
commit962--commit963,100
commit963--commit964,100
commit964--commit965,100
commit965--commit966,100
commit966--commit967,99.62566845
commit967--commit968,100
commit968--commit969,100
commit969--commit970,97.87839586
commit970--commit971,100
commit971--commit972,100
commit972--commit973,100
commit973--commit974,100
commit974--commit975,99.87528062
commit975--commit976,96.97048162
commit976--commit977,97.00567888
commit977--commit978,100
commit978--commit979,100
commit979--commit980,100
commit980--commit981,100
commit981--commit982,99.57879088
commit982--commit983,97.91776489
commit983--commit984,100
commit984--commit985,100
commit985--commit986,100
commit986--commit987,99.80337079
commit987--commit988,99.94394619
commit988--commit989,100
commit989--commit990,99.9719888
commit990--commit991,99.94400896
commit991--commit992,100
commit992--commit993,100
commit993--commit994,100
commit994--commit995,100
commit995--commit996,100
commit996--commit997,100
commit997--commit998,100
commit998--commit999,100
commit999--commit1000,100
commit1000--commit1001,100
commit1001--commit1002,100
commit1002--commit1003,100
commit1003--commit1004,100
commit1004--commit1005,100
commit1005--commit1006,100
commit1006--commit1007,100
commit1007--commit1008,100
commit1008--commit1009,99.88808058
commit1009--commit1010,100
commit1010--commit1011,100
commit1011--commit1012,100
commit1012--commit1013,100
commit1013--commit1014,100
commit1014--commit1015,100
commit1015--commit1016,100
commit1016--commit1017,99.88817445
commit1017--commit1018,100
commit1018--commit1019,100
commit1019--commit1020,100
commit1020--commit1021,100
commit1021--commit1022,100
commit1022--commit1023,100
commit1023--commit1024,100
commit1024--commit1025,100
commit1025--commit1026,99.69367864
commit1026--commit1027,100
commit1027--commit1028,100
commit1028--commit1029,100
commit1029--commit1030,100
commit1030--commit1031,100
commit1031--commit1032,100
commit1032--commit1033,100
commit1033--commit1034,100
commit1034--commit1035,100
commit1035--commit1036,100
commit1036--commit1037,100
commit1037--commit1038,100
commit1038--commit1039,100
commit1039--commit1040,100
commit1040--commit1041,99.12503528
commit1041--commit1042,100
commit1042--commit1043,100
commit1043--commit1044,100
commit1044--commit1045,99.45165945
commit1045--commit1046,100
commit1046--commit1047,100
commit1047--commit1048,100
commit1048--commit1049,100
commit1049--commit1050,100
commit1050--commit1051,100
commit1051--commit1052,99.8259356
commit1052--commit1053,99.79716024
commit1053--commit1054,100
commit1054--commit1055,100
commit1055--commit1056,100
commit1056--commit1057,100
commit1057--commit1058,100
commit1058--commit1059,100
commit1059--commit1060,100
commit1060--commit1061,100
commit1061--commit1062,100
commit1062--commit1063,100
commit1063--commit1064,100
commit1064--commit1065,100
commit1065--commit1066,100
commit1066--commit1067,100
commit1067--commit1068,100
commit1068--commit1069,100
commit1069--commit1070,99.08125179
commit1070--commit1071,100
commit1071--commit1072,100
commit1072--commit1073,100
commit1073--commit1074,100
commit1074--commit1075,100
commit1075--commit1076,100
commit1076--commit1077,100
commit1077--commit1078,100
commit1078--commit1079,100
commit1079--commit1080,100
commit1080--commit1081,100
commit1081--commit1082,100
commit1082--commit1083,100
commit1083--commit1084,100
commit1084--commit1085,100
commit1085--commit1086,100
commit1086--commit1087,100
commit1087--commit1088,100
commit1088--commit1089,100
commit1089--commit1090,100
commit1090--commit1091,100
commit1091--commit1092,100
commit1092--commit1093,100
commit1093--commit1094,100
commit1094--commit1095,100
commit1095--commit1096,100
commit1096--commit1097,98.54035489
commit1097--commit1098,100
commit1098--commit1099,100
commit1099--commit1100,100
commit1100--commit1101,100
commit1101--commit1102,100
