CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,TLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
0292f8bb42c0ffa30c68073eaf11c121cfaa5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,100
ee03cd24b748d9eb900906021b6ca565b9ec5ade,1,1,1,0,0,0,0,1,4,5,1,1,0,308,27,27,63,63,0,2248,2248,0,15,15,0,100
c3112bdd323cb3c99dd39f11a48d609df0df97b1,2,20,0,20,0,0,0,2,3,24,1,1,1,440,0,0,132,132,0,2422,2422,0,73,73,0,100
9c9859cfaef56df398343dea4f0710ea6b8c3895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
6afa3f3021f4285641b8638eeb92e919279a45be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,100
028a5198b26c77590fde5003277424e2ec41e821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,100
5d59085e577499724a16918fcbaeebcb20051d2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,100
ddfc2fe7e44e09f3c656b6537a284b9e5a2a8e7e,1,4,4,0,0,0,0,1,4,11,1,1,0,220,29,29,48,48,0,1626,1626,0,15,15,0,100
3a7fa19edf6d263df95c90a343079090309d84d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,100
d1ba921d77249f9dc41741ae008bbcf4fb48ccab,5,521,5,516,2,0,2,1,5,6,1,3,1.089715902,607,31,31,204,134,70,6878,4355,2523,68,44,24,99.84040855
fb07d5e56b8d0f7b45abb4c9eda6610e37882c13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
8ee5f41d6bb39f3d5bbca884e990e0494b699b5f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
061cde3da0ced0b76e3aa39f2f91233de50723f0,57,311,311,0,0,0,0,2,5,0,1,2,4.821126595,4915,2,2,1233,1233,0,30484,30484,0,659,659,0,100
e983f084ee77cf1f850d0a585e1b0770ff472437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,100
a3a6ba18917850050b52dbd2ee9885972421177f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,100
dd2d5d65771282dcf579a055332a2e634c623841,1,1,1,0,0,0,0,2,2,1,1,1,0,227,2,2,40,40,0,1638,1638,0,7,7,0,100
f800eeb7f08b220f7547becaa59bb6aee764bb1c,50,167,131,36,0,0,0,1,1,0,1,18,5.400004879,2660,3,3,440,150,290,11290,4400,6890,367,150,217,93.61837907
35ffc8b2f94d21f193c67531046664338ec8e871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,100
217848afa396043e21ef2a0c4eea3f4c30b9b38e,916,46181,45966,215,458,0,458,1,6,0,1,108,9.129344846,26058,4,4,5281,14899,9618,169628,601016,431388,2896,6560,3664,37.13739241
3732082706b4ce006db427e00bcf79c5bb7c890e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100
