9c932f2033ef9d195b42223fd442337e735c240c,WW-5355,Improvement,Integrate and use WTLFU cache by default,Core,Minor,100
6ff7e15bfcea229163e05cb4b9cd15ddef1df7d4,WW-5355,Improvement,Integrate and use WTLFU cache by default,Core,Minor,100
1573207ee7bc13927f34c42fb8eb1637bfda6d61,WW-5355,Improvement,Integrate and use WTLFU cache by default,Core,Minor,100
9527da5d3603de3ea7423e44c0eb213b5f02cce1,WW-5355,Improvement,Integrate and use WTLFU cache by default,Core,Minor,99.96056782
5011a797774824a23d87d2da8bf1a3dc3a276865,WW-5355,Improvement,Integrate and use WTLFU cache by default,Core,Minor,100
74d2fdcc6cd7563eb87d475e92fd2a7edb6f3d02,WW-5355,Improvement,Integrate and use WTLFU cache by default,Core,Minor,100
67da669f05cd39c4aad0ba88e0995daf2eff2d22,WW-5354,,,,,100
f2834d2529a852133dbb2d9dd6c48a45cdc00681,/,/,    Merge pull request #764 from apache/gh-actions-sonar-21,/,/,100
913f6bf3a113c815fc6d6f8e72b2aedfd72c3a2c,WW-5349,,,,,100
0432205a684cd6b31c790f309fc908192c0f73d7,WW-5354,,,,,100
b736eb281d7f5e1518430389aed224e78def8cb5,/,/,    Upgrade EasyMock,/,/,100
23feab685c3877f07ac8e0aea705afee09680d66,/,/,    Merge pull request #740 from apache/dependabot/maven/org.jfree-jfreechart-1.5.4,/,/,100
00db84468db15702787d6beb6e1b21e39d7eb04a,/,/,    Convert test class to JUnit4,/,/,100
9c12bb86b5a46a94439d2ac545f61e2dfbb4bbd1,/,/,    Fix JDK 21 build,/,/,100
62db310b093299850688ff9870665c1b5b57387d,/,/,    Add JDK 21 build,/,/,100
a165c02eff2afd07516ad676d0e96637d807d0ab,/,/,    Merge pull request #762 from apache/dependabot/github_actions/ossf/scorecard-action-2.3.0,/,/,100
6995eaf2f93ee2d605f72d2e75d33b44b3bfe3f8,WW-5349,,,,,100
4155263e6323d2fad716624c43e0c7b0f126d1a3,WW-5349,,,,,100
8a95a3f486144b3ae10b57ffa674bc065eba7c7d,/,/,    Bump ossf/scorecard-action from 2.2.0 to 2.3.0,/,/,100
fc03a2b694c75f6faf68e9eb6d294885e031f7bf,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
f4029f8fd039f4069dec67235e9fdbc4b1075d50,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
46c29ae338a8e6dcd0bba360fba2a8c1c2c5f082,WW-5344,,,,,100
276ede4c88f67b5e1d1182928301ceff12e6fcba,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
20eafb632721627b4bef2463e80b7dad42fd4dd6,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
529b611158d417cebea4fedc13e1b8b489257497,WW-5344,,,,,100
ff9ecbe08966683584c30535c8d7788aa7c28505,WW-5338,,,,,100
3b41e6bcb79625353687ed5935b6147cd21dd288,WW-5338,,,,,100
debcb541e33f113287cb3d9c13e8400122adf677,WW-5338,,,,,99.95271495
248bc72144d547031f7d245dd2567ca9bb4deb80,WW-5347,,,,,100
b8f95bdccf0490544033332638c1a3f175f5f75a,WW-5348,,,,,100
