b1536d73fd33707357f0b0274443d63f9487454c,METRON-2254,Bug,Intermittent Test Failure in RestFunctionsIntegrationTest,,Major,100
722eb66a6a6a1208185e238f29864d95c673f404,METRON-2211,Improvement,[UI] Alerts UI should optionally render timestamp in local time,,Major,100
c402e6442d8d699eef5aa5464cd91347160b082c,METRON-2217,Improvement,Migrate current HBase client from HTableInterface to Table,,Major,99.78509066
3b96474ee3b82e9d254b466d5997321b90a6f8c5,METRON-2201,Bug,The description for the IS_IP method default behavior needs to corrected as per implementation ,,Minor,100
67fa5a403b01d0f7c8607c06e63f9d06f8b8cbc1,METRON-2227,Bug,Kafka test harness has a hardcoded 5 second timeout,,Minor,100
5eed6663f2689e160be0a525c8e423961cd2269f,METRON-2221,Bug,Notebook import fails through Zeppelin REST API,,Major,100
edc449ffa6be51749f6a3b100bf6a0a33755e50c,METRON-2243,Improvement,[UI] Update npm dependencies to resolve audit warnings,,Major,100
888c4bc8f353ea0424f28919ab33b5f4ad861d25,METRON-2199,Improvement,[UI] Add ability to turn off query building in Alerts UI search input,,Major,100
1a6d77fd74e37950ced4ae1620d9ee9d80cdc4b1,METRON-2238,Bug,Streaming enrichments regression,,Major,100
e6ca3c71d8120516afcf816be2cda81093088b72,METRON-2149,Bug,Shaded jar classifier is not consistent,,Major,100
4ab1fdba2f93cfb90dea55d315fb7f45c63d2fa6,METRON-2179,Bug,[UI] Make navigation in both UIs consistent,,Major,100
7219606fd56258c3037c73e5709f2144702fe37a,METRON-2212,Improvement,Add debugging developer docs to hbase-server README,,Major,100
5e93677d38889fdd34d4f6a93ab0e8099bf01c7b,METRON-2076,Bug,Stellar timezone test failure,,Minor,100
88f4d2cefe4bbb389732da3b4f5cbcf02b7b949a,METRON-614,Bug,Eliminate use of the default Charset,,Minor,99.72903401
f6054a46d6ba56396e61f26eeeb08ec47a40a498,METRON-614,Bug,Eliminate use of the default Charset,,Minor,100
3bea6adfd44ac7d4b04f42c38ccd46ab5796dab1,METRON-2205,Bug,Cease querying on filter or time-range change,,Major,100
771d66b5a806f9c0f1c53c1782977e00fa26917a,METRON-2195,Improvement,Add defensive log level checks when constructing logs is expensive,,Critical,99.4259158
0239432b967bc176d20d6965544be582f54ae0e9,METRON-2202,Bug,Add parameter validation for the stellar field validation functions,,Major,100
8c4b53dae73067e05cfcdac42ceb9c562bf4c2fd,METRON-2197,Improvement,Add debugging info output for Solr queries,,Major,100
340827f2569767056698ac38cf4517dc866c4e06,METRON-2189,Task,Optimize imports in mpack python scripts,,Major,100
855de4a21ceb33bb608d7eb8100397eae294d81a,METRON-2194,Improvement,Update Ambari tooltip to specify single quotes for parser names with hyphens,,Major,100
8a5e7e7d348922477faf1717b8556d81e950b762,METRON-2192,Bug,[UI] &quot;All time&quot; time range is broken on Alerts UI,,Major,100
625653513849e4e848b96582d920fb193a4c961f,METRON-2191,Bug,[UI] Checkbox selector on Alerts UI is broken,,Major,100
6306c935d71150456c2adbd0702001ae6b88fe38,METRON-2130,Bug,[UI] Numeric steppers on the Management UI seems broken,,Minor,100
65681a0a0888576725663347e52deafe8ca94a1a,METRON-2129,Bug,[UI] Clearing the search bar resets alert filter range to &apos;All Time&apos;,,Minor,100
5e1e3bd2e2876a6774b9c50d72115332f0bc15ee,METRON-2140,Bug,[UI] Implement logic behind show/hide RESOLVE and DISMISS items in Alerts UI,,Major,100
ed63eac260e442f8c6f17dd93f6d87fc946cae0d,METRON-2172,Bug,Solr Updates Not Tested in Integration Test,,Major,99.59178119
43f74fc91a24ea2b24f5a41038cdf46d3d883fa1,METRON-2185,Bug,Update Simple-Syslog dependency to fix error in Structured Data,,Major,100
7e39143caf841fdb576caa417ce33110ba123270,METRON-2079,Bug,Fix documentation for installing Ansible for fulldev Centos 6,,Major,100
753e8ea6693abfe762fc5f7d186bde8d71609fc4,METRON-2174,Bug,[UI] Grouped alerts total can differ from search alerts total,,Major,100
b516a75417a01b080462acdcf61b7101f8e67d0d,METRON-2161,Bug,[UI] CSS positioning bugs in Alerts and MGMT UI,,Major,100
5425f8f97a7d3620d7dd2e0a9d26f692b58963fb,METRON-2183,Improvement,Update to Angular v7,,Major,100
f36bba7c0ed6a2cff3f30de73d7e2650e03681a6,/,/,    Metron-2180 IS_DATE stellar function is lenient while parsing date/time (MohanDV) closes apache/metron#1461,/,/,100
42ce5add9ae5b20bb3667e81e8aaa148f48a4d42,METRON-2148,New Feature,Stellar REST POST function,,Major,99.97298757
891ebd5ce4391bcf3260cff3db20f08d27ea21fa,METRON-2150,Bug,[UI] User not able to filter by multiple values of the same field on Alerts UI,,Major,100
bf673a2e9c00a59716e70feea55d581af91145f1,METRON-2168,Bug,Elasticsearch Updates Not Tested in Integration Test,,Major,98.59310345
c8f2c9affd8e3b2ed9b99cf7eb9ac7b61e4d37a2,METRON-2084,Improvement,Add documentation notice for MacOS Mojave users for new security permissions,,Major,100
87928824509c5f6ab314375be720dd64d8361cf4,METRON-2061,Bug,Solr documents with date fields cannot be updated with Dao classes,,Major,99.85891648
02f88a313068a876e20227a2347cedafb4cec0ae,METRON-2164,Bug,Remove the Split-Join Enrichment Topology,,Major,97.92775939
c9604c255aa596202c6fb348fca3aa9816c0b297,METRON-2166,Bug,FileFilterUtilTest.test_getPaths_leftEdge:116 expected:&lt;1&gt; but was:&lt;2&gt;,,Major,100
f2f3bb4877b02ce40e9712a9bd0c91f6e4d40d75,METRON-2155,Bug,Cache Maven in Travis CI Builds,,Major,100
a2a46e6567c78e5066c0d3360d7838d1a5851fa7,METRON-2156,Improvement,Remove Storm dependency from metron-hbase,,Major,98.64964039
09bbdf30e1ecef88b67755d12d407a39ce44536c,METRON-2142,Bug,Install solar schema as metron user,,Major,100
ee1b2c34d329a4fffbb6e900fe06112eda7bc8cd,METRON-1253,Bug,Manual pasting of timestamps into the timestamp picker,,Major,100
38b8a7824a3ceed829215c8ce4ecad963ebf449e,METRON-2073,Improvement,Create in-memory use case for enrichment with map type and flatfile summarizer,,Major,99.76435935
9621ec7dbd740e0fe37d12f283b4e7a7e0f0178f,METRON-2092,Bug,[UI] Config UI does not require you to set a grok timestamp field by default,,Minor,100
3c1317360243398eef8097edcea5f7c1a0bb2f59,METRON-2141,Improvement,Cache REST API status update calls to the Storm UI,,Major,99.83749446
5bd7e010c2f389c2c14476337df982f2e781af8d,METRON-2102,Sub-task,[UI] Adding click-through navigation to Alerts table,,Major,100
a1487ec104c0ebb7e3383499b445726dbe5de142,METRON-2153,Bug,ParserIntegrationTest should print failed messages,,Major,100
e16ff316ae1a05f88a1f515ba2040d6cddab1d3f,METRON-2127,Task,Update Maven repositories to https,,Major,100
dbf8bf9dd0f7140092ba789ff048c2f6beeb79c6,METRON-2145,Task,Clarify RPM build documentation,,Major,100
a8f2d3a2814315da950f24ec74bacc3b8f44b1f2,METRON-2083,Bug,Fix broken links in root metron README,,Major,100
2dd753e4b69fe1b85b7604a8d0e20af8ecea0ae8,METRON-2152,Improvement,Add debug logging for when sensor batchTimeout exceeds the calculated maximum,,Major,100
3754ff33f6cd149ffca57474d744e0298d4c172a,METRON-2112,Bug,Normalize parser original_string handling,,Major,100
b9a130ca96774add38865d3934ed61ca19599b87,METRON-2087,Improvement,Remove Storm dependency from metron-indexing,,Major,92.50991335
bfe662d6e7b07f8340067d7aaeb976068617b6b1,METRON-2128,Bug,LEEF config file is missing in RPM spec file,,Major,100
ccb5bec1dd101850c18faee128bbca77af815880,METRON-2143,Bug,Travis Build Fails to Download Maven,,Major,100
