,FCA
index,A2A
commit287--commit288,91.39328445
commit288--commit289,99.0990991
commit289--commit290,100
commit290--commit291,99.49416342
commit291--commit292,100
commit292--commit293,100
commit293--commit294,98.61591696
commit294--commit295,100
commit295--commit296,99.80988593
commit296--commit297,99.54510993
commit297--commit298,100
commit298--commit299,100
commit299--commit300,100
commit300--commit301,98.46266471
commit301--commit302,100
commit302--commit303,99.8225692
commit303--commit304,100
commit304--commit305,99.82294618
commit305--commit306,100
commit306--commit307,100
commit307--commit308,99.75273755
commit308--commit309,100
commit309--commit310,100
commit310--commit311,100
commit311--commit312,100
commit312--commit313,100
commit313--commit314,97.40987049
commit314--commit315,100
commit315--commit316,99.16955017
commit316--commit317,100
commit317--commit318,100
commit318--commit319,100
commit319--commit320,99.82811963
commit320--commit321,98.60188745
commit321--commit322,100
commit322--commit323,100
commit323--commit324,100
commit324--commit325,100
commit325--commit326,100
commit326--commit327,100
commit327--commit328,100
commit328--commit329,100
commit329--commit330,100
commit330--commit331,100
commit331--commit332,99.85754986
commit332--commit333,100
commit333--commit334,100
commit334--commit335,100
commit335--commit336,100
commit336--commit337,100
commit337--commit338,100
commit338--commit339,100
commit339--commit340,100
commit340--commit341,100
commit341--commit342,98.42632332
commit342--commit343,100
commit343--commit344,100
commit344--commit345,100
commit345--commit346,99.8564765
commit346--commit347,98.52838122
commit347--commit348,100
commit348--commit349,100
commit349--commit350,100
commit350--commit351,100
commit351--commit352,100
commit352--commit353,99.82882574
commit353--commit354,99.96580027
commit354--commit355,100
commit355--commit356,100
commit356--commit357,100
commit357--commit358,100
commit358--commit359,97.66403298
commit359--commit360,100
commit360--commit361,99.75903614
commit361--commit362,100
commit362--commit363,100
commit363--commit364,100
commit364--commit365,100
commit365--commit366,100
commit366--commit367,100
commit367--commit368,100
commit368--commit369,100
commit369--commit370,100
commit370--commit371,100
commit371--commit372,100
commit372--commit373,100
commit373--commit374,100
commit374--commit375,98.30388693
commit375--commit376,100
commit376--commit377,100
commit377--commit378,100
commit378--commit379,100
commit379--commit380,100
commit380--commit381,100
commit381--commit382,100
commit382--commit383,99.49312093
commit383--commit384,100
commit384--commit385,99.85606333
commit385--commit386,99.46351931
commit386--commit387,100
commit387--commit388,100
commit388--commit389,100
commit389--commit390,100
commit390--commit391,100
commit391--commit392,100
commit392--commit393,100
commit393--commit394,100
commit394--commit395,100
commit395--commit396,100
commit396--commit397,100
commit397--commit398,97.35636235
commit398--commit399,100
commit399--commit400,100
commit400--commit401,100
commit401--commit402,100
commit402--commit403,100
commit403--commit404,100
commit404--commit405,100
commit405--commit406,99.23398329
commit406--commit407,100
commit407--commit408,99.75736568
commit408--commit409,95.89273591
commit409--commit410,100
commit410--commit411,99.40318302
commit411--commit412,99.63708347
commit412--commit413,100
commit413--commit414,100
commit414--commit415,99.86820428
commit415--commit416,100
commit416--commit417,93.38959212
commit417--commit418,100
commit418--commit419,100
commit419--commit420,100
commit420--commit421,100
commit421--commit422,100
commit422--commit423,100
commit423--commit424,100
commit424--commit425,100
commit425--commit426,98.6235119
commit426--commit427,100
commit427--commit428,100
commit428--commit429,100
commit429--commit430,100
commit430--commit431,100
commit431--commit432,98.09630459
commit432--commit433,100
commit433--commit434,97.88182832
commit434--commit435,99.74452555
commit435--commit436,100
commit436--commit437,92.21282593
commit437--commit438,92.32394366
commit438--commit439,93.27929753
commit439--commit440,100
commit440--commit441,98.32285115
commit441--commit442,100
commit442--commit443,100
commit443--commit444,100
commit444--commit445,100
commit445--commit446,93.90012642
commit446--commit447,100
commit447--commit448,100
commit448--commit449,98.92098851
commit449--commit450,100
commit450--commit451,100
commit451--commit452,100
commit452--commit453,96.360601
commit453--commit454,100
commit454--commit455,100
commit455--commit456,100
commit456--commit457,97.43677375
commit457--commit458,99.45394976
commit458--commit459,100
commit459--commit460,98.83424408
commit460--commit461,100
commit461--commit462,99.53186892
commit462--commit463,100
commit463--commit464,99.57188726
commit464--commit465,99.85815603
commit465--commit466,100
commit466--commit467,100
commit467--commit468,100
commit468--commit469,100
commit469--commit470,98.93390192
commit470--commit471,100
commit471--commit472,98.30268741
commit472--commit473,100
commit473--commit474,100
commit474--commit475,100
commit475--commit476,100
commit476--commit477,100
commit477--commit478,99.61605585
commit478--commit479,100
commit479--commit480,100
commit480--commit481,100
commit481--commit482,100
commit482--commit483,100
commit483--commit484,100
commit484--commit485,100
commit485--commit486,100
commit486--commit487,100
commit487--commit488,100
commit488--commit489,100
commit489--commit490,99.72289574
commit490--commit491,100
commit491--commit492,100
commit492--commit493,96.82854311
commit493--commit494,99.55877718
commit494--commit495,100
commit495--commit496,99.93736298
commit496--commit497,100
commit497--commit498,100
commit498--commit499,100
commit499--commit500,99.53285581
commit500--commit501,100
commit501--commit502,100
commit502--commit503,100
commit503--commit504,92.67747345
commit504--commit505,99.56896552
commit505--commit506,98.57393045
commit506--commit507,98.92077508
commit507--commit508,97.00279401
commit508--commit509,94.06735751
commit509--commit510,100
commit510--commit511,96.05585497
commit511--commit512,100
commit512--commit513,100
commit513--commit514,100
commit514--commit515,100
commit515--commit516,100
commit516--commit517,100
commit517--commit518,100
commit518--commit519,100
commit519--commit520,100
commit520--commit521,100
commit521--commit522,100
commit522--commit523,100
commit523--commit524,100
commit524--commit525,100
commit525--commit526,100
commit526--commit527,100
commit527--commit528,100
commit528--commit529,100
commit529--commit530,96.42686994
commit530--commit531,100
commit531--commit532,100
commit532--commit533,100
commit533--commit534,100
commit534--commit535,100
commit535--commit536,100
commit536--commit537,100
commit537--commit538,100
commit538--commit539,100
commit539--commit540,100
commit540--commit541,100
commit541--commit542,100
commit542--commit543,100
commit543--commit544,100
commit544--commit545,100
commit545--commit546,100
commit546--commit547,100
commit547--commit548,100
commit548--commit549,100
commit549--commit550,100
commit550--commit551,97.0407197
commit551--commit552,99.83579639
commit552--commit553,100
commit553--commit554,100
commit554--commit555,100
commit555--commit556,98.29020333
commit556--commit557,100
commit557--commit558,100
commit558--commit559,100
commit559--commit560,100
commit560--commit561,100
commit561--commit562,100
commit562--commit563,100
commit563--commit564,100
commit564--commit565,100
commit565--commit566,100
commit566--commit567,100
commit567--commit568,100
commit568--commit569,100
commit569--commit570,100
commit570--commit571,100
commit571--commit572,100
commit572--commit573,100
commit573--commit574,100
commit574--commit575,100
commit575--commit576,100
commit576--commit577,100
commit577--commit578,100
commit578--commit579,100
commit579--commit580,99.81785064
commit580--commit581,96.52232443
commit581--commit582,100
commit582--commit583,100
commit583--commit584,100
commit584--commit585,100
commit585--commit586,100
commit586--commit587,97.55988359
commit587--commit588,100
commit588--commit589,100
commit589--commit590,100
commit590--commit591,100
commit591--commit592,100
commit592--commit593,100
commit593--commit594,100
commit594--commit595,100
commit595--commit596,100
commit596--commit597,100
commit597--commit598,100
commit598--commit599,100
commit599--commit600,100
commit600--commit601,100
commit601--commit602,100
commit602--commit603,100
commit603--commit604,100
commit604--commit605,100
commit605--commit606,99.88695456
commit606--commit607,100
commit607--commit608,99.95485327
commit608--commit609,99.932341
commit609--commit610,100
commit610--commit611,100
commit611--commit612,100
commit612--commit613,100
commit613--commit614,99.88741274
commit614--commit615,100
commit615--commit616,99.77558348
commit616--commit617,100
commit617--commit618,100
commit618--commit619,100
commit619--commit620,100
commit620--commit621,100
commit621--commit622,100
commit622--commit623,100
commit623--commit624,100
commit624--commit625,100
commit625--commit626,100
commit626--commit627,100
commit627--commit628,100
commit628--commit629,100
commit629--commit630,100
commit630--commit631,99.91043439
commit631--commit632,100
commit632--commit633,99.24242424
commit633--commit634,99.9113082
commit634--commit635,99.66799469
commit635--commit636,99.93377483
commit636--commit637,100
commit637--commit638,100
commit638--commit639,100
commit639--commit640,100
commit640--commit641,100
commit641--commit642,99.10067997
commit642--commit643,87.34887737
commit643--commit644,100
commit644--commit645,100
commit645--commit646,100
commit646--commit647,100
commit647--commit648,100
commit648--commit649,100
commit649--commit650,100
commit650--commit651,100
commit651--commit652,100
commit652--commit653,100
commit653--commit654,99.85065074
commit654--commit655,100
commit655--commit656,99.85090522
commit656--commit657,100
commit657--commit658,100
commit658--commit659,100
commit659--commit660,100
commit660--commit661,99.95742869
commit661--commit662,99.07582441
commit662--commit663,100
commit663--commit664,100
commit664--commit665,100
commit665--commit666,99.07582441
commit666--commit667,98.5375159
commit667--commit668,100
commit668--commit669,100
commit669--commit670,100
commit670--commit671,100
commit671--commit672,100
commit672--commit673,100
commit673--commit674,100
commit674--commit675,100
commit675--commit676,100
commit676--commit677,99.9155227
commit677--commit678,100
commit678--commit679,99.76793249
commit679--commit680,100
commit680--commit681,99.83154348
commit681--commit682,99.66435914
commit682--commit683,100
commit683--commit684,100
commit684--commit685,100
commit685--commit686,100
commit686--commit687,99.83267099
commit687--commit688,100
commit688--commit689,99.83302025
commit689--commit690,94.92884346
commit690--commit691,100
commit691--commit692,100
commit692--commit693,100
commit693--commit694,100
commit694--commit695,100
commit695--commit696,94.92957746
commit696--commit697,98.01595859
commit697--commit698,100
commit698--commit699,100
commit699--commit700,99.75652944
commit700--commit701,100
commit701--commit702,99.88964908
commit702--commit703,99.97795414
commit703--commit704,100
commit704--commit705,100
commit705--commit706,100
commit706--commit707,100
commit707--commit708,92.10032818
commit708--commit709,100
commit709--commit710,100
commit710--commit711,99.42167463
commit711--commit712,100
commit712--commit713,100
commit713--commit714,100
commit714--commit715,100
commit715--commit716,100
commit716--commit717,96.70892248
commit717--commit718,100
commit718--commit719,100
commit719--commit720,100
commit720--commit721,96.4268352
commit721--commit722,96.63438257
commit722--commit723,100
commit723--commit724,100
commit724--commit725,100
commit725--commit726,99.83641038
commit726--commit727,100
commit727--commit728,100
commit728--commit729,100
commit729--commit730,100
commit730--commit731,98.93395133
commit731--commit732,100
commit732--commit733,99.79329352
commit733--commit734,100
commit734--commit735,99.90829895
commit735--commit736,100
commit736--commit737,99.25017042
commit737--commit738,100
commit738--commit739,99.75264223
commit739--commit740,100
commit740--commit741,99.61806336
commit741--commit742,100
commit742--commit743,100
commit743--commit744,100
commit744--commit745,100
commit745--commit746,100
commit746--commit747,99.97749775
commit747--commit748,100
commit748--commit749,100
commit749--commit750,100
commit750--commit751,99.3315508
commit751--commit752,100
commit752--commit753,99.97793469
commit753--commit754,98.81915592
commit754--commit755,100
commit755--commit756,100
commit756--commit757,100
commit757--commit758,100
commit758--commit759,100
commit759--commit760,100
commit760--commit761,100
commit761--commit762,100
commit762--commit763,100
commit763--commit764,100
commit764--commit765,100
commit765--commit766,99.82657706
commit766--commit767,100
commit767--commit768,100
commit768--commit769,100
commit769--commit770,100
commit770--commit771,99.91325092
commit771--commit772,100
commit772--commit773,100
commit773--commit774,100
commit774--commit775,100
commit775--commit776,100
commit776--commit777,100
commit777--commit778,99.04389396
commit778--commit779,100
commit779--commit780,100
commit780--commit781,100
commit781--commit782,100
commit782--commit783,99.71794315
commit783--commit784,100
commit784--commit785,100
commit785--commit786,95.63802083
commit786--commit787,100
commit787--commit788,99.95646495
commit788--commit789,100
commit789--commit790,100
commit790--commit791,100
commit791--commit792,100
commit792--commit793,100
commit793--commit794,100
commit794--commit795,100
commit795--commit796,100
commit796--commit797,100
commit797--commit798,100
commit798--commit799,100
commit799--commit800,100
commit800--commit801,100
commit801--commit802,100
commit802--commit803,100
commit803--commit804,100
commit804--commit805,100
commit805--commit806,100
commit806--commit807,99.54108392
commit807--commit808,100
commit808--commit809,98.8263421
commit809--commit810,100
commit810--commit811,100
commit811--commit812,100
commit812--commit813,100
commit813--commit814,100
commit814--commit815,100
commit815--commit816,100
commit816--commit817,100
commit817--commit818,100
commit818--commit819,99.1416309
commit819--commit820,100
commit820--commit821,100
commit821--commit822,100
commit822--commit823,100
commit823--commit824,100
commit824--commit825,100
commit825--commit826,100
commit826--commit827,99.59410382
commit827--commit828,100
commit828--commit829,100
commit829--commit830,100
commit830--commit831,100
commit831--commit832,100
commit832--commit833,100
commit833--commit834,96.64469742
commit834--commit835,100
commit835--commit836,100
commit836--commit837,99.92493901
commit837--commit838,100
commit838--commit839,96.58682635
commit839--commit840,96.94488818
commit840--commit841,100
commit841--commit842,100
commit842--commit843,100
commit843--commit844,100
commit844--commit845,100
commit845--commit846,100
commit846--commit847,99.92488263
commit847--commit848,99.96243426
commit848--commit849,100
commit849--commit850,99.9249531
commit850--commit851,100
commit851--commit852,100
commit852--commit853,100
commit853--commit854,99.73836666
commit854--commit855,100
commit855--commit856,100
commit856--commit857,97.76133561
commit857--commit858,100
commit858--commit859,100
commit859--commit860,100
commit860--commit861,100
commit861--commit862,100
commit862--commit863,100
commit863--commit864,99.69207082
commit864--commit865,100
commit865--commit866,100
commit866--commit867,100
commit867--commit868,100
commit868--commit869,100
commit869--commit870,100
commit870--commit871,100
commit871--commit872,100
commit872--commit873,100
commit873--commit874,100
commit874--commit875,100
commit875--commit876,99.39047619
commit876--commit877,99.48873319
commit877--commit878,99.88647114
commit878--commit879,100
commit879--commit880,100
commit880--commit881,99.86784973
commit881--commit882,100
commit882--commit883,88.48589522
commit883--commit884,100
commit884--commit885,95.75733545
commit885--commit886,99.81913183
commit886--commit887,100
commit887--commit888,100
commit888--commit889,100
commit889--commit890,100
commit890--commit891,99.91974318
commit891--commit892,100
commit892--commit893,100
commit893--commit894,100
commit894--commit895,100
commit895--commit896,100
commit896--commit897,100
commit897--commit898,100
commit898--commit899,100
commit899--commit900,100
commit900--commit901,100
commit901--commit902,100
commit902--commit903,100
commit903--commit904,100
commit904--commit905,100
commit905--commit906,100
commit906--commit907,100
commit907--commit908,100
commit908--commit909,100
commit909--commit910,99.28158052
commit910--commit911,99.28158052
commit911--commit912,99.79939819
commit912--commit913,99.08183633
commit913--commit914,99.08183633
commit914--commit915,99.95987159
commit915--commit916,100
commit916--commit917,98.90416418
commit917--commit918,99.76251732
commit918--commit919,99.14308489
commit919--commit920,100
commit920--commit921,100
commit921--commit922,100
commit922--commit923,99.14308489
commit923--commit924,99.86160538
commit924--commit925,99.02468153
commit925--commit926,100
commit926--commit927,100
commit927--commit928,100
commit928--commit929,99.9397953
commit929--commit930,100
commit930--commit931,99.02429311
commit931--commit932,100
commit932--commit933,99.02429311
commit933--commit934,98.97959184
commit934--commit935,100
commit935--commit936,100
commit936--commit937,96.4622188
commit937--commit938,100
commit938--commit939,100
commit939--commit940,94.79425837
commit940--commit941,99.88149319
commit941--commit942,94.68044393
commit942--commit943,100
commit943--commit944,97.37140696
commit944--commit945,100
commit945--commit946,100
commit946--commit947,100
commit947--commit948,99.86520316
commit948--commit949,100
commit949--commit950,100
commit950--commit951,98.7077157
commit951--commit952,95.49963262
commit952--commit953,100
commit953--commit954,92.67833616
commit954--commit955,92.67833616
commit955--commit956,100
commit956--commit957,100
commit957--commit958,100
commit958--commit959,99.76639712
commit959--commit960,99.94611101
commit960--commit961,100
commit961--commit962,99.96408046
commit962--commit963,100
commit963--commit964,100
commit964--commit965,99.8925309
commit965--commit966,100
commit966--commit967,100
commit967--commit968,92.21433906
commit968--commit969,92.21433906
commit969--commit970,100
commit970--commit971,100
commit971--commit972,100
commit972--commit973,100
commit973--commit974,98.99168583
commit974--commit975,100
commit975--commit976,100
commit976--commit977,100
commit977--commit978,100
commit978--commit979,100
commit979--commit980,99.28683249
commit980--commit981,99.32114883
commit981--commit982,99.75584234
commit982--commit983,90.77178118
commit983--commit984,91.98173516
commit984--commit985,100
commit985--commit986,98.76118376
commit986--commit987,100
commit987--commit988,100
commit988--commit989,100
commit989--commit990,99.01281607
commit990--commit991,100
commit991--commit992,99.86197378
commit992--commit993,94.08082976
commit993--commit994,99.81416094
commit994--commit995,100
commit995--commit996,92.21056376
commit996--commit997,92.21056376
commit997--commit998,99.8515219
commit998--commit999,98.84041966
commit999--commit1000,98.84041966
commit1000--commit1001,100
commit1001--commit1002,95.13839603
commit1002--commit1003,95.13839603
commit1003--commit1004,100
commit1004--commit1005,100
commit1005--commit1006,97.2796518
commit1006--commit1007,97.2796518
commit1007--commit1008,100
commit1008--commit1009,99.96289425
commit1009--commit1010,99.59221501
commit1010--commit1011,100
commit1011--commit1012,99.87037037
commit1012--commit1013,99.96297668
commit1013--commit1014,100
commit1014--commit1015,96.66727042
commit1015--commit1016,96.66727042
commit1016--commit1017,100
commit1017--commit1018,100
commit1018--commit1019,96.8568314
commit1019--commit1020,96.8568314
commit1020--commit1021,96.8568314
commit1021--commit1022,91.44968332
commit1022--commit1023,99.80916031
commit1023--commit1024,100
commit1024--commit1025,100
commit1025--commit1026,100
commit1026--commit1027,99.03047091
commit1027--commit1028,90.49679765
commit1028--commit1029,90.47948762
commit1029--commit1030,100
commit1030--commit1031,90.47948762
commit1031--commit1032,93.33011116
commit1032--commit1033,95.69048382
commit1033--commit1034,100
commit1034--commit1035,100
commit1035--commit1036,100
commit1036--commit1037,93.60165119
commit1037--commit1038,93.63823934
commit1038--commit1039,100
commit1039--commit1040,93.63823934
commit1040--commit1041,93.63823934
commit1041--commit1042,93.52839931
commit1042--commit1043,100
commit1043--commit1044,100
commit1044--commit1045,100
commit1045--commit1046,100
commit1046--commit1047,100
commit1047--commit1048,93.62508615
commit1048--commit1049,93.62508615
commit1049--commit1050,93.62508615
commit1050--commit1051,93.62508615
commit1051--commit1052,100
commit1052--commit1053,93.62508615
commit1053--commit1054,99.98284734
commit1054--commit1055,100
commit1055--commit1056,93.64231564
commit1056--commit1057,100
commit1057--commit1058,100
commit1058--commit1059,99.43152455
commit1059--commit1060,99.86273164
commit1060--commit1061,99.56903982
commit1061--commit1062,93.64231564
commit1062--commit1063,100
commit1063--commit1064,100
commit1064--commit1065,100
commit1065--commit1066,100
commit1066--commit1067,100
commit1067--commit1068,100
commit1068--commit1069,100
commit1069--commit1070,100
commit1070--commit1071,100
commit1071--commit1072,100
commit1072--commit1073,100
commit1073--commit1074,99.91429551
commit1074--commit1075,100
commit1075--commit1076,95.58538163
commit1076--commit1077,91.91853887
commit1077--commit1078,92.54019293
commit1078--commit1079,99.28386409
commit1079--commit1080,100
commit1080--commit1081,100
commit1081--commit1082,100
commit1082--commit1083,100
commit1083--commit1084,100
commit1084--commit1085,100
commit1085--commit1086,100
commit1086--commit1087,100
commit1087--commit1088,97.58418741
