CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP
11dc3bfbc0b731656f32b2eeec00659a1bbf9e4a,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,8,4
60c30dcab158b8166295ed6b6c28b948039add39,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,9,5
853c331a55ad97bf88ed20b252e3e25122807330,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,10,6
7b71e0a5c75f6eec83c13205fbba9b9f3e010790,1,2,2,examples/src/test/java/org/apache/mina/examples/echoserver/ConnectorTest.java,2,2,210,0,0,3,3,13.0,1,1,0.0,210,4,4
67009db078d3ed28ca6a22c71ba5ed57f700d61c,34,0,0,filter-codec-asn1/src/main/java/org/apache/mina/filter/codec/asn1/Asn1CodecDecoder.java,0,0,38,0,0,1,1,0.0,3,9,0.0,3282,5,5
,,,,filter-codec-asn1/src/main/java/org/apache/mina/filter/codec/asn1/Asn1CodecEncoder.java,0,0,89
,,,,filter-ssl/src/main/java/org/apache/mina/filter/SSLFilter.java,0,0,433
,,,,filter-ssl/src/main/java/org/apache/mina/filter/support/SSLByteBufferPool.java,0,0,132
,,,,filter-ssl/src/main/java/org/apache/mina/filter/support/SSLHandler.java,0,0,553
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/Binding.java,0,0,94
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/DatagramAcceptorFactoryBean.java,0,0,30
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/DatagramConnectorFactoryBean.java,0,0,30
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/InetAddressEditor.java,0,0,37
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/InetSocketAddressBindingIoAcceptorFactoryBean.java,0,0,55
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/IoFilterMapping.java,0,0,60
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/SocketAcceptorFactoryBean.java,0,0,49
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/SocketConnectorFactoryBean.java,0,0,29
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/VmPipeAcceptorFactoryBean.java,0,0,49
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/VmPipeConnectorFactoryBean.java,0,0,29
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/ssl/BogusTrustManagerFactory.java,0,0,70
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/ssl/KeyStoreFactoryBean.java,0,0,109
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/ssl/SSLContextFactoryBean.java,0,0,178
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/support/AbstractIoAcceptorFactoryBean.java,0,0,99
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/support/AbstractIoConnectorFactoryBean.java,0,0,51
,,,,integration-spring/src/main/java/org/apache/mina/integration/spring/support/AbstractIoSessionManagerFactoryBean.java,0,0,67
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/DatagramAcceptorFactoryBeanTest.java,0,0,29
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/DatagramConnectorFactoryBeanTest.java,0,0,29
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/InetAddressEditorTest.java,0,0,49
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/InetSocketAddressBindingIoAcceptorFactoryBeanTest.java,0,0,75
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/IoFilterMappingTest.java,0,0,49
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/SocketAcceptorFactoryBeanTest.java,0,0,43
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/SocketConnectorFactoryBeanTest.java,0,0,29
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/VmPipeAcceptorFactoryBeanTest.java,0,0,64
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/VmPipeConnectorFactoryBeanTest.java,0,0,29
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/ssl/KeyStoreFactoryBeanTest.java,0,0,58
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/support/AbstractIoAcceptorFactoryBeanTest.java,0,0,220
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/support/AbstractIoConnectorFactoryBeanTest.java,0,0,119
,,,,integration-spring/src/test/java/org/apache/mina/integration/spring/support/AbstractIoSessionManagerFactoryBeanTest.java,0,0,208
240d7a7561f4eb44ce8d5cd069b3dce74105a6c0,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,6,6
9792d53c553fdc80d6c8d84a21cc268d2c888586,3,247,0,filter-codec-netty/src/main/java/org/apache/mina/filter/codec/netty/NettyCodecFactory.java,39,0,0,3,0,1,1,0.0,1,1,1.3791369208829747,0,7,7
,,,,filter-codec-netty/src/main/java/org/apache/mina/filter/codec/netty/NettyDecoder.java,144,0,0
,,,,filter-codec-netty/src/main/java/org/apache/mina/filter/codec/netty/NettyEncoder.java,64,0,0
cdad62672f8349b8903f9596ab9dc709acc6b097,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,16,9
8fcd2c4ce06b3ef92189dcc07151e55e4b249abc,0,0,0,/,0,0,0,0,0,0,0,0.0,0,0,0.0,0,17,10
