Commit ID,Issue Name,Issue Type
b2e0fe35559ba249222b4ee3f6b32dd58c93b913,/,/
b82f8f92c751f422a0fa2c3d894b9321c1b5d8f0,BUG-36908,Unknown
a98af5ecdb44a6be8430fc80338682699ad7cb02,QE-4071,Unknown
ae227ea93707f7e9934ccb4285260291da32bd62,/,/
252acd01cdd38976f2a28725564514257097e4c0,/,/
f4547da345d2da3799c974b37f89e696b68d93bc,/,/
6a9193c79b137cfa76db5080fa69424594b8d2cf,/,/
4dbe5820040a80a19ca33c6ba2092b0790610b3e,/,/
0cf80d27c11cf7771412df2011a079b2fa6cb2ec,/,/
dccadff34784576df3f1797faca648ff69d3ce83,/,/
e4385af664d11e5896019f510e1d77eb866159fa,/,/
40e160bbc95f7d5ec2ad2beb88cd430b4f1c72a6,/,/
eddb4480b259a1986d6c522cb30c1f978ce6e31d,BUG-36553,Unknown
f526e359a3e8d71ab62fb868923ca17c2fef1b4f,/,/
ca905722f1f74cf5aa7bdaef7d9bdf23a9e6127d,DGI-1,Unknown
71fc73fc1aeb6b82de93bef9d32d6a4377b061be,/,/
3e0fa2dad38507221e0c3ad415f0901e32e520ee,/,/
e8fd5f7c3b9a45d5eb3820e2827860bc5ea4abed,/,/
c183b38cdecff45b0c820db4a1c7ce6478060b7e,/,/
167671feb0333b7ddc431382b7be8c9506f27bc4,/,/
dfadd1a699802fccca649e3377467e3524c41431,/,/
1cf48c3e1df9e2d257e46fdfc225d67fa93ef84a,/,/
ac594b24814d1dd872cd703fd2d991185a40aacc,/,/
55e893d56215ad0be4565317828c4b339f2d005f,/,/
0c3c5f4071769161279da1496cc0ed7b8ffcf3ea,/,/
b4b8079d599dd06241c804906d0e0bbcf081a0c5,/,/
104e71e8ee4b632ce0dbe737573d05f09673a066,/,/
5233657476570c7604c7252f4ca7542d9cf31655,/,/
0438f50d58f506a39d3048a67b2cd1d963a34b02,/,/
de1744606c0d7c9760c172d2e5fe87271993c868,/,/
6e0ae677131357cbfcd5cd4106e406e65d2d4828,/,/
f73dab3e3f28fc6b7c20ceeea662cb61fcbb7abb,/,/
2bda3511bb2557fd31449cbf2593c15a0f0aa173,/,/
8aeb64e32cf475e041b75084439944a323c3f69b,/,/
75dad3000f9e41359955c11e33a239a801666c59,/,/
4543c8371e4cf70be7b4f54ff938fbb6a342cb49,/,/
c8115932644abf53e6f6f34bd5180a1e6dfb090e,/,/
f3b8232db0653bba5f6421da881f9acc76e79783,/,/
14089ea875fbedf363ad4bb6b54ce62d6e7316a3,/,/
d88cdbb25fb7f9cef1d3d9da1ca0a6216dfa4f74,/,/
4e7d2b9b8b66e163c8d825d440afac92fa2d45c3,/,/
ed7d2bf06484c4bc3473eefae3b493da96515077,/,/
215d7400d20edf2807e809296d7149bb934c2073,patch-2,Unknown
0b13234217ffec5a7f2dce62c02e106911f93855,/,/
b5bf5cd907b6c463995957f9ec92c52b325e6a4a,/,/
6a0004ddb0479cacb6ffecffebd7002c7b39fbef,/,/
7b29331ef451988d6e8c567c133b4a0dc782fdb9,/,/
bbf98001ac1e732e31bddd4e629cf0a32be1b73d,/,/
18f6aefd6be7fed41709b301dba341050c3c5a67,/,/
438688121370628ea0879bae748048867e44c05c,/,/
bb3022b8e2cbbcedfec9796180241e4e531ae9f1,/,/
2c65ac46bb19dc873d1e616d96a4a6e9feaa930a,/,/
635c51d68c5c84c29e7bb80fe1c95f3aaba1e27c,/,/
7d9294076b80f5e1915bd9d78d87c302abf03e94,/,/
cb5f3d407029f2c4b146e2386ef2c4596776e0df,/,/
6b744bc26018362b0f5c43c21a6c28e55d23fd5a,/,/
5a86e50e268702ed0327ee37b6a5a4337c905beb,/,/
91cfa6a6f4a15f3f95c1d01bd836510a63b6802e,/,/
01ee72a3ccef99323c73d1796087f84080995a66,/,/
074211dbd0db37cefa4d40203241b6399b2d5f4d,/,/
bbc46662255208dcded3d6b1cdc8a62bc7004618,/,/
ab91112a91e870e7c9eb06dd076f9d468abb5e16,patch-1,Unknown
d7807410d653760e347809d6c6f9c99d6793611a,/,/
9b02a58ff68e0c39dc110dc1e5b8316481eb118a,/,/
786b1f3b63157e7d8cf09b1bd5ef862729bab29c,/,/
4112fbf5dca1d21331a5551a00eaac7b58d7b6cc,/,/
64c784428b7c87aab5e6a8311c9121de48e9183e,/,/
dd9a76b025a598d7d6c3789697be9738328db302,/,/
4b2a4caed572fb358cddb37ce1b183072e08a0a6,/,/
8e73ed24df3c6e5eca2bc8dfce5c539cc5d44194,/,/
8ba831bcb81c356c0aee0bdb478423a4419355ef,/,/
a9d61e1b8b4621b6500c7664f8c437310c6c0401,/,/
8ee845beba04e41c19af60ee0b03d79f1b74acd3,/,/
a0d7b9986238c556743e97d42e256029c5414236,BUG-33658,Unknown
f82182e4be157c05c9c9c86dc0e70732384d7f2e,/,/
63fb91a327f55b6db1f00ed69c2bcab7465e2572,/,/
5fda7b705872b86190916ad158fbb8c27ff4b4ce,/,/
be8ba79589171d90b2d8e4579baa6d3a611a4f2e,/,/
e79fed42f421f7ca23290db74630ebdb272fc87d,/,/
5ed7b7fff0d08beca847ef30505cb6617dc33504,/,/
fc4dfcfe0ac0b071a714fc154716320ad06f4347,/,/
aea795d531d0aab526cd399d214e6ab1e829c103,/,/
2fa785cc94d8c8e4735a124e68fd3391a1b6f0bc,/,/
b2ec0c35c602b09583dea61744a1375aecc08119,/,/
e631ed0a1390e04341c11e49d09ee0f29737aaf3,/,/
1361d0cba3027c45ce111786a39a714ecae387fc,/,/
0cdacb1d9dccebb4848aae002b359c4a12b9cac3,/,/
9ce130b0ee8f7f0f6d6993369a76bae3d2dfcb5e,/,/
683625ff6ba19bf8d460bf6d13df28b261ff3270,/,/
356fde94ba784cc7cb3344ab80eccf8ef4845115,/,/
ee6126ff0d833c5e23c6cf283c08a2d9dd10a20b,/,/
1a13eea3bb838400d44b77928737ad6d5ed803df,/,/
f1eb7ced356a0247fd275312cb3c5f6254a0197b,/,/
27eb676c70d0dfeb3170df1100878cf1afa702bf,/,/
