CommitID,FileNum,TotalAddLines,TotalDeleteLines,LC,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP
58ad6c01fb6e51225bfe4a95047df3dc2ca648d6,1,26,0,26,signature-api/src/main/java/org/apache/labs/amber/signature/signers/VerifyingKey.java,26,0,0,1,0,1,1,1,0.0,1,1,0.0,0,39,39
09bdc4c3b9fc6716fcb0545af1f8db183629462d,1,45,0,45,signature-api/src/main/java/org/apache/labs/amber/signature/signers/SignatureMethod.java,45,0,0,1,0,1,1,1,0.0,1,1,0.0,0,40,40
71be5ff127ad1408324a2f1c051e20f473d163c6,1,1,1,0,signature-api/src/main/java/org/apache/labs/amber/signature/signers/Key.java,1,1,20,0,0,0,1,2,0.0,1,1,0.0,20,41,41
d9f74b54d5afde65e3915459274b876622a908a8,1,47,0,47,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractKey.java,47,0,0,1,0,1,1,1,0.0,1,1,0.0,0,42,42
a309ba5fbe0fc9290f8514ce7c3cb8300b70a63d,1,1,1,0,signature-api/src/main/java/org/apache/labs/amber/signature/signers/SignatureMethod.java,1,1,30,0,0,0,1,2,0.0,1,1,0.0,30,43,43
2513877d8dd79f3715ef3b557cdcc28db9b5fd42,1,1,1,0,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractKey.java,1,1,26,0,0,0,1,2,0.0,1,1,0.0,26,44,44
54881689baf14aa43a7661c644cd9c306af4be0d,1,42,0,42,signature-api/src/main/java/org/apache/labs/amber/signature/signers/hmac/HmacSha1Key.java,42,0,0,1,0,1,1,1,0.0,1,1,0.0,0,45,45
c4af0fc4a4c5a42f00527971aef3f66c09be57a5,1,42,0,42,signature-api/src/main/java/org/apache/labs/amber/signature/signers/plaintext/PlaintextKey.java,42,0,0,1,0,1,1,1,0.0,1,1,0.0,0,46,46
f31b4ee64ad75a09d99b31886e752a55e0f23441,1,113,0,113,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/AbstractRsaSha1Key.java,113,0,0,1,0,1,1,1,0.0,1,1,0.0,0,47,47
ab2591e66120da9463f4df73dc88d03f73a5d4d8,1,29,13,16,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/AbstractRsaSha1Key.java,29,13,64,0,0,0,1,2,0.0,1,1,0.0,64,48,48
bcba47a7357ed2bd8e18ab713988f737775da6dd,1,3,1,2,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/AbstractRsaSha1Key.java,3,1,77,0,0,0,1,3,0.0,1,1,0.0,77,49,49
20935aa3fd0116a6969745023d442ada30940586,1,86,0,86,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/AbstractRsaSha1SigningKey.java,86,0,0,1,0,1,1,1,0.0,1,1,0.0,0,50,50
55c221eda1e44c8414b1b9ff3f3bdd45dffda95f,1,88,0,88,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/AbstractRsaSha1VerifyingKey.java,88,0,0,1,0,1,1,1,0.0,1,1,0.0,0,51,51
174d76af3413e4d8b7f9ef43d095f7ad78d4f5a6,1,41,0,41,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/DerRsaSha1SigningKey.java,41,0,0,1,0,1,1,1,0.0,1,1,0.0,0,52,52
ded219dacf46c896d873c0da0802510603be8ce0,1,41,0,41,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/DerRsaSha1VeryfingKey.java,41,0,0,1,0,1,1,1,0.0,1,1,0.0,0,53,53
346138db7e5f1df11c837f1e640b457547f8b4c9,0,0,0,0,/,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,54,54
1b8bd788198566f683fe264edc6838e9e2e8ef89,0,0,0,0,/,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,55,55
27e7222daa69ba5a5d07d5040fc4d6e93cbb6bcd,0,0,0,0,/,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,56,56
67a40729a2ea044d8853dda2be58f91c51854f89,1,55,0,55,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/PemRsaSha1SigningKey.java,55,0,0,1,0,1,1,1,0.0,1,1,0.0,0,57,57
b60e658aca3b571d66e00dc4534ef718a26909b0,1,55,0,55,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/PemRsaSha1VeryfingKey.java,55,0,0,1,0,1,1,1,0.0,1,1,0.0,0,58,58
9c872077dc0a15dfb75fe287197a78510eb752bd,6,94,178,84,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/AbstractRsaSha1SigningKey.java,0,86,50,0,0,0,1,2,0.0,1,1,2.031393718611734,217,59,59
,,,,,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/AbstractRsaSha1VerifyingKey.java,0,88,51
,,,,,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/DerRsaSha1SigningKey.java,45,1,24
,,,,,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/DerRsaSha1VeryfingKey.java,47,1,24
,,,,,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/PemRsaSha1SigningKey.java,1,1,34
,,,,,signature-api/src/main/java/org/apache/labs/amber/signature/signers/rsa/PemRsaSha1VeryfingKey.java,1,1,34
2bda5483b5f2899cbb35827b737c49498a53b141,1,68,0,68,signature-api/src/main/java/org/apache/labs/amber/signature/signers/SignatureMethodAlgorithm.java,68,0,0,1,0,1,1,1,0.0,1,1,0.0,0,60,29
a721f2475e9a40fe6f0df78a2f1cdb134bc65ff2,1,149,0,149,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithm.java,149,0,0,1,0,1,1,1,0.0,1,1,0.0,0,61,30
977121e9faa56571fe0e0299675ad2c668f383a1,1,32,0,32,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithm.java,32,0,69,0,0,0,1,2,12.0,1,1,0.0,69,62,2
105264ec975d3ea4fe935cde52cedbd0c315e060,1,52,2,50,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithm.java,52,2,91,0,0,0,1,3,0.0,1,1,0.0,91,63,3
a1d9b4da694945e1b4a4e9b46668c15c59fc1db4,1,3,2,1,signature-api/src/main/java/org/apache/labs/amber/signature/signers/AbstractMethodAlgorithm.java,3,2,120,0,0,0,1,4,0.0,1,1,0.0,120,64,4
