88732d523c00f27a47b2a0b72bdcb6f69c88a94e,OLTU-68,Bug,Add junit tests to OAuthUtilsTest.java,oauth2-common,Major,100
e6b738739d9a1ac48993f36d7bb7d814475a7f88,OLTU-12,Bug,[oauth2-resourceserver] resource access validation always fails if there is more than one parameter style defined,,Major,100
bebe70a21a90c7fe7f98845c48a97addc2265571,OLTU-174,Bug,OAuthResourceResponse does not support binary response bodies,oauth2-client,Major,99.82993197
380cdce8ffb027afe723935a3ee9c6aab8fe5263,OLTU-192,Bug,Bundle org.apache.oltu.openidconnect.client does not contain classes,openidconnect-common,Major,100
59ee35337f3957748878c34650ecae0ab4593460,OLTU-173,Bug,getRefreshToken() in GitHubTokenResponse class retrieves the wrong parameter,oauth2-client,Major,100
ea97a198ce62e561731060b06e6de7622970f41e,OLTU-29,Bug,OAuthAuthorizationResponseBuilder missing setTokenType,oauth2-authzserver,Major,96.79098005
793714753f368a87f62fce6b5e52bb8e30f2b869,OLTU-191,Task,Get resource fails with NPE,oauth2-client,Major,99.64570416
396cafc29fab3f611b343ea279e07c40b42d5ba8,OLTU-50,Bug,Improve the client demo in order to work with context root different than &apos;/&apos;,oauth2-client-demo,Minor,100
bdd10e2f1e3cb66725a10a84c029f29a1daae39d,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,100
36155ad40ffdc0286e709f49a8d3f972c7b13e59,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,100
9e853d18067e9495734153cbf2bccb5a88f74172,OLTU-154,Bug,Fix logging config and add error logging in client-demo,oauth2-client-demo,Minor,98.4
1b0753f09e89a9926c91ae7fb81004deea996432,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,100
58bea2c11f2a037c8b0641f35a725b5e969efc57,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,99.82174688
2a0a19d5c35ae939c63b2672b990bde8a141f4ee,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,98.85260371
4d0bfe59dc7884602c45909c6623ed95630f6794,OLTU-187,Bug,Error building OLTU ,,Major,100
1095c5bd89c139d268baf46fd0d44a23fa176dc9,/,/,    Update statistics,/,/,100
77bd487160294621e7e8ae65003aade894199b7e,/,/,    Update generic links in the site from http to https,/,/,100
668453449c2f7de95ab6cad72042468bbe463917,OLTU-156,Bug,No KEYS file; download page link is broken,,Blocker,100
e83c88f084355ddb784ce9afc728d0987e0706e7,OLTU-156,Bug,No KEYS file; download page link is broken,,Blocker,100
1a0643b328c035b8864b5b0eaeaa03bcd9edbc27,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,98.85864794
8bd94ce2dfaf24489f52dd6dd7f31f82b7e135da,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,100
ce6167dcf7070b71c3da14f376352c2927056b22,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,100
aa0d87bad150403e7876bec6b9263c98770cfd39,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,100
d931b428fdc7d3392ea180885de6d339890ecfa1,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,98.1530343
6c934b534788b47d0197d2145b1b012efc2244d6,OLTU-178,Bug,initial responseCode not set in the OAuthProblemException,oauth2-client,Major,99.8245614
df4542d9ad1730cb8d21f4f016ff9892af34e237,OLTU-185,Bug,OAuthClientResponse lack headers access to be used for correct RESTful client implementation,oauth2-client,Major,100
47533dd83eff394c028f12f1be5db28e80928028,OLTU-185,Bug,OAuthClientResponse lack headers access to be used for correct RESTful client implementation,oauth2-client,Major,100
06feb9edc7a3ad182348fb6faf469e78df756adf,/,/,    Update committer info,/,/,100
ac38c8d75d1873392e0e930a50c21332a5e208cd,OLTU-185,Bug,OAuthClientResponse lack headers access to be used for correct RESTful client implementation,oauth2-client,Major,97.97178131
48a801d1f44fffee46e5039c896e0a7467811114,OLTU-182,Bug,Colons in client secrets are not supported,oauth2-common,Critical,100
0005c175cb5bcd5389a606eeadb181eaa7002fb4,OLTU-156,Bug,No KEYS file; download page link is broken,,Blocker,100
5e7a0a236d54e84234124cb27c9727f17dd9beb2,OLTU-187,Bug,Error building OLTU ,,Major,100
637781aaf6989e09d9e223cb2c2db88eb819d24d,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,99.37666963
19e128dd0a1334a7a755d4e03d069ab44a197fcd,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,99.18699187
5b478f3279daf41b3643b92221d4e951e7c9b9ad,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,98.26166514
a31ee290d879e6da906e05648e7f7c132336ff49,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,98.15498155
d2571358b9e78a692e4e8cbfd6f34456c8489598,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,97.95918367
02c7130d1d97b939194397917747920985bc3372,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,99.25093633
398c7f9870eb9dff96001d73e27dfa448212f4c6,OLTU-186,Improvement,Adding constant for HS256,JWT,Trivial,99.62264151
3bb3f372a94a0b35c8f57584af61b9f7deb3a23c,OLTU-187,Bug,Error building OLTU ,,Major,100
fb8c4fc50571822a531704609753db89e8407371,OLTU-156,Bug,No KEYS file; download page link is broken,,Blocker,100
0b6e162ca53ffb04a9e337209a943cf6e8f86390,OLTU-156,Bug,No KEYS file; download page link is broken,,Blocker,100
811f8e8debbbc1cec116853a9b8fcdc00bcf605e,OLTU-156,Bug,No KEYS file; download page link is broken,,Blocker,100
a3385f3f73fcfd53fba3a8cb31ce8d32327d8265,OLTU-187,Bug,Error building OLTU ,,Major,100
5f673698e3430f07160cd3264319b08af4e1a5d3,OLTU-186,Improvement,Adding constant for HS256,JWT,Trivial,99.81132075
47422a592ee84358bad68a7ca564c05eae06cfd3,OLTU-80,Improvement,Implement JWE support for JWT,oauth2-jwt,Major,99.81096408
89186dc48720eb15804791f1dd0c9ef2ff6e2f8b,/,/,    added OAuth book section,/,/,100
da75e6b016ef72ae6363250864de1a059f7dfb42,/,/,    added OAuth book section,/,/,100
769f79655759900a38972521cbe9bb08ac1abb0c,/,/,    added OAuth book section,/,/,100
f7158093ce88b16a056265263cf3407e378db292,/,/,    added OAuth book section,/,/,100
d14a77afcb2d728f45c1d4598db37a2d845a0648,/,/,    added OAuth book section,/,/,100
623c04b5030c6764af1cb934e9041e09ce30a212,/,/,    added OAuth book section,/,/,100
ee3c1732e05cf1d552d94e4b12e034949fd7f284,/,/,    added OAuth book section,/,/,100
b981fe57d26181ad31025318041aba620bb9ccbc,/,/,    added OAuth book section,/,/,100
b1fe921e606021ae549aa856dbac67cccb5a7a63,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
d1f9de795fb14bf159e42fc584cd3bb0e362f8bf,/,/,    [maven-release-plugin] prepare release org.apache.oltu.oauth2.parent-1.0.1,/,/,100
c4e350ef5d4f2e197afb4d6bfba5d4e727c5ea49,/,/,    releng - update parent pom to v3 in order to prepare the incoming release,/,/,100
ebe39419ae513cddc420d3e6f13c351239918ec5,/,/,    add referenced resources,/,/,100
d520b52128bcd7a8ba2bae6e02bee7ee50019151,OLTU-181,Bug,Implement OAuth Server Assertions Framework,JWT,Major,96.88679245
da5b04199b6bdec6c97d9997aec6a2d60d524136,OLTU-181,Bug,Implement OAuth Server Assertions Framework,JWT,Major,100
94d2f7747b4a7cf0ebdc3ff20d4b7bdb3679a8ff,OLTU-181,Bug,Implement OAuth Server Assertions Framework,JWT,Major,99.2481203
a58625d4d3864d76a368855c438aa00d0e9733f8,OLTU-181,Bug,Implement OAuth Server Assertions Framework,JWT,Major,100
49d3d3944695db58b376b52833f82424434af5df,/,/,    added Commercial Support page,/,/,100
6ece0406cd6089c99107d401caf484aa23d2f446,/,/,    @releng fixing build,/,/,100
0e2c9e787fa8b973848c738afbdba31755561611,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
413d14890b278da41c6ee0b7afc5f62fadfeebf8,/,/,    [maven-release-plugin] prepare release org.apache.oltu.parent-3,/,/,100
b30abc3b81556ed034876b7ccd3c0255646b7b4f,/,/,    releng: updated ignore list,/,/,100
f10663be71ca33a6da353f9ca1b9d5006b4bd0a9,/,/,    trivial: static Assert.assertEquals import rather than static method invocation,/,/,100
41d8a28b45f0a77e7ae7dd6e4fc73494d8dc4c29,/,/,    releng: muted test  suppressed syserr print,/,/,100
28443ee7e7a701dd271ce490a505613929427003,/,/,    releng: suppressed type inference warning by fixing them,/,/,100
c99b87d0ad7c25cadae30920db1a0719613e6951,/,/,    releng: replaced deprecated Assert class,/,/,100
f763aa38ecc659754dea18e7f428708067ddacb9,OLTU-147,Task,Upgrade commons-codec 1.8 to 1.9,general,Minor,100
558bcf0be0b8b27a997fde5958a0dd705aa4f8a2,OLTU-147,Task,Upgrade commons-codec 1.8 to 1.9,general,Minor,100
f0ec1dcd3b5eea64ae59419fb2278e43f7d7f00a,OLTU-161,Bug,JWTClaimsSetParser fails when aud is an array,oauth2-jwt,Major,100
1a6bbe8cc64bbc163b055084b2bd7fc8b6ee41d7,OLTU-160,Improvement,Add support for implicit grant,oauth2-authzserver,Major,100
afe2864619f978c0f0fd37232191d02a85e1253e,OLTU-134,Improvement,Broken OSGi metadata,general,Major,100
e63699651d00456776aa7fb1730ed40e220286f8,OLTU-134,Improvement,Broken OSGi metadata,general,Major,100
acd6c2cc7a4ee86acd3712a2c76fa319b7bd8887,OLTU-145,Task,Upgrade the underlying logging frameworks,general,Minor,100
6b5f44661d3dd1f4fa1070091cc609c13d258125,OLTU-146,Task,Upgrade JUnit 4.10 to 4.11,general,Minor,100
d093ec052140138fe67b2d262ce24d2cdc72290a,OLTU-148,Task,Upgrade json 20131018 to 20140107,general,Minor,100
f9aec9ac1f22c4edd072c32c73b118d6aeb3e594,OLTU-147,Task,Upgrade commons-codec 1.8 to 1.9,general,Minor,100
ca1de9ec403b9f4cc2b0d549e4597498d1ca1c93,OLTU-153,Bug,Parent POM should have URL of user mailing list archive,parent,Trivial,100
f9562c73cd4dcef7fcf7131ab15fd8e55e69cc39,/,/,    trivial: code format,/,/,100
b1f7fc0b08573cc9c1c80d194ad3a8debe1c7210,OLTU-105,Bug,Android 4.1 expects &quot;realm&quot; as first parameter in www-authenticate header,oauth2-resourceserver,Major,100
f40f9ee4f832a849ef1e16316d3b56fe3ace2884,OLTU-152,Bug,Wrong usage of Base64 in TokenDecoder,oauth2-common,Major,100
688899088939ca4ae714f17713759fbc9a46c76c,/,/,    @releng minor fix,/,/,100
a695a3f166555ea8de0bb372c486082f85a2735d,/,/,    @releng minor fix,/,/,100
9ab7011b9a0184ac1cae12fa8e3383caa4c8388b,/,/,    @releng minor fix,/,/,100
7951f07139be4c2bdff3f60c0664ae43f02ac6ac,OLTU-144,Improvement,increase unit test code coverage of the JWS module,jose-jws,Major,100
e5707da5cdf1c240be61e9cbf29f79a1d50c714c,OLTU-143,Improvement,Add support for public key signature algorithm to the JWS module,jose-jws,Major,99.62335217
3505c77475565390df6113bb82f9e53e7dfc935f,OLTU-143,Improvement,Add support for public key signature algorithm to the JWS module,jose-jws,Major,97.78846154
cc79690dc1e880741aaf0f093c553a75dc479b47,OLTU-143,Improvement,Add support for public key signature algorithm to the JWS module,jose-jws,Major,100
5b7a0046f2780597cfe8815d99ec9557dc90c0b5,OLTU-139,Task,Publish all Javadocs,site,Major,100
990b87c41f8fd757418d5ccf2222e50f2201e917,OLTU-139,Task,Publish all Javadocs,site,Major,100
8973f10d250dfdbc48d9f6654069e346cae493c3,OLTU-139,Task,Publish all Javadocs,site,Major,100
