a33eadf2db21e7e7c9c47f39cfa8e53547063d76,/,/,    Update README.md,/,/,100,,,,,,,,
437b09a92bc7cb3209bacc04a85ff6d6550991d1,/,/,    Create README.md file,/,/,100,,,,,,,,
5635fff7ad187852669bec4a88ee7eb5bda3259d,/,/,    add mvn repository dir to ratcheck exclude list,/,/,100,,,,,,,,
3ee433413294e5b833e569472289f6a404e32576,/,/,    Add the GraphJob example  which is PageRank  to work on YARN cluster.,/,/,99.89417989,,,,,,,,
db5cec9d124cc41ed46a171ef62ecbbf94f27188,/,/,    Update yarn-hama-diagram file.,/,/,100,,,,,,,,
69b1c166eeece41f5557567489130c4113744342,/,/,    update NOTICE file,/,/,100,,,,,,,,
4db7ac9733abdd408fe3be4f4849aa415239250f,HAMA-973,Bug,GraphJob and RandBench example works incorrectly when FT is enabled.,bsp core,Critical,100,,,,,,,,
65a0839736f475bcc116f3ba4a233108d68594d9,HAMA-963,Bug,ArrayIndexOutOfBoundsException occurs when tasks are greater than splits,,Blocker,100,,,,,,,,
ec4c3bc0824a743c49e4b69327e1ea90edeb378b,HAMA-969,Bug,Infinite loop defect in HamaMessageManagerImpl,bsp core,Minor,100,,,,,,,,
d677800bcc4431b5730d715a9ad761f7df65b4ff,HAMA-967,Bug,Remove a meaningless checking condition.,bsp core,Trivial,100,,,,,,,,
082e5b55bcaac421309ba01aa32cf487aa46430a,HAMA-966,Bug,NioServerListener doesn&apos;t throw any exceptions.,bsp core,Minor,100,,,,,,,,
22c0b2f8075b28671dba0a4e8d735a83569da324,HAMA-965,Bug,Infinite loop because of recursive function call. ,bsp core,Trivial,100,,,,,,,,
60c14699f655986bd73217d8508eed554d3e4006,/,/,    Increase default maxClientCnxns,/,/,100,,,,,,,,
01ad02ffde340e51232ee83755f2cd86a61d334c,/,/,    Modify wrong help message of the FastGraphGen example,/,/,100,,,,,,,,
2782839996aa091974bc2ddd42bbc9124c8e4ddd,/,/,    change the font-size,/,/,100,,,,,,,,
f062fdc8f18c08cab7672128157467f589a7d973,/,/,    Update website,/,/,100,,,,,,,,
ac1d1ad9652419b02809d576e70ce4e97827e72f,/,/,    Update website,/,/,100,,,,,,,,
cc8e484d396b443aae4debcf59cf3db9c2dfaff0,/,/,    Remove hama_on_clouds page,/,/,100,,,,,,,,
4f3a2283e49a2b9dde53c1d76ffe46452ec598a0,/,/,    update website,/,/,100,,,,,,,,
7709d87268dd723868bf3b32c0fbbfbf1e482772,/,/,    center align,/,/,100,,,,,,,,
611a62f792db5a2ae5821614faaae22471111557,/,/,    minor change css,/,/,100,,,,,,,,
9dc57e7ae8125bb4b66abd211c78a61951225ea9,/,/,    Update website,/,/,100,,,,,,,,
710a4e72d179033f5af49cb4be66a6eeb1b352c1,/,/,    improve html tags,/,/,100,,,,,,,,
22c73961cc3ad84be59b534003fc794730dfb6b5,/,/,    Add recent news,/,/,100,,,,,,,,
