5e89853664d46ed7505efd37a3eddcc53d110e38,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
4b6a38ec1bea4ae3b961f3ecc2186d90a79a5c29,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
5d63179b480a152b4e56d21c7f059b0c1727fa55,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
a40b718b03005be89c56b1cf361fadfce8ca29ab,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
ae4964cc457e5a122206182fa8206eeda7ba8437,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
5d781bd6dce4d7b2db0e7a85b7eb91aeb2a0e023,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
9065ae7201eaba7a2a1e005df9118cca6ea1cf4d,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
77d8a8e05b3b22d598c4061c56bdb726e67f8d9c,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
94d18740199e16e0b41dff324770f6b442142155,/,/,    !32852 work on staticInitializer via ASM,/,/,100
92bb3b055ae4f882b10a197b012c0a1a3449a4cf,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
a95530b4e6bc00a82077313c7aa876ec1cf12f75,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
1a287b267f86079aa79348e9d24f93469522d07a,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,99.98225755
50bfc57833dd932e48eb4ebfae4ad8f4bd6bf3cb,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
810f85ff9f6a8aa3962270cd9929ad1396b67dbe,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,99.98580302
f0fe08baaa4626e9d1cc67c207b0278eb4169566,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
3a667fe78adb6bd87ef19cfd9302d72d378c1dd1,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
d8d829b76b550cc8d79824566ce363db2fc23d9f,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
03f2d6ae88b537d1bed34b78443e14f8af15af8c,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
cd194bb72e75e3ab1a47d486e9cbd129eefc6175,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
6164d355a69a111943928e6ecf9225505e3132c7,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
972b5d0e62451b6b79ea82d4e7fd57c93f77835f,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
4c7c81d24958486624ade83a1cc104b34fe51949,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
80272a3bf711c96f45d93ff695ba69bc673545a3,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
f2d27aa15fca7c04f47dfca3770948f3015e17ad,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
032c6fc7fedb9ae6230a6730cdf7ffb4246119e7,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,99.99290075
d13b85b13940726dc1faae89ba1f8807a24b0f49,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
3ea2412003028d37f2a69971a47bb20abf589f8b,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
2c3d37e859a125d7521884cee711c03535731964,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
31681982de16a3496e0ebb6aa1efa3901ac6e6ef,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,99.99289874
b51d003ed98aa7663465aad7c9a1b554b006cc7d,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,99.97869091
b238417dabeac935846fe1ce2fef28aafaeef205,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,100
972f34d85fa9dad3b6991a0a7386d479fbb8e99c,/,/,    upgrade xbean to 4.22,/,/,100
39c838a56f00eea3a234698c2b9a2b3587a2178e,OPENJPA-2911,Improvement,Replace Serp with native ASM code,kernel,Major,99.98223927
f19ba018e23ddbf8cdc1eef6d505340b705b257b,OPENJPA-2910,Improvement,implement WASManagedRuntime witout Serp,kernel,Major,99.98934281
