CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP
,,,,src/java/org/apache/hadoop/chukwa/datacollection/writer/ChukwaWriter.java,5,4,26,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/datacollection/writer/ClientAck.java,106,0,0,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/datacollection/writer/ConsoleWriter.java,13,3,71,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/datacollection/writer/InMemoryWriter.java,24,10,56,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/datacollection/writer/SeqFileWriter.java,249,179,288,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/datacollection/writer/WriterException.java,29,0,0,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/extraction/Consolidator.java,0,179,169,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/extraction/archive/ChukwaArchiveBuilder.java,132,0,0,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/extraction/archive/ChukwaArchiveDailyOutputFormat.java,2,0,36,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/extraction/archive/ChukwaArchiveDataTypeOutputFormat.java,45,0,0,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/extraction/archive/ChukwaArchiveDataTypePartitioner.java,42,0,0,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/extraction/archive/ChukwaArchiveStreamNameOutputFormat.java,35,0,0,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/extraction/archive/ChukwaArchiveStreamNamePartitioner.java,38,0,0,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/extraction/database/DBException.java,30,0,0,,,,,,,,,,,
,,,,src/java/org/apache/hadoop/chukwa/extraction/database/DBPlugin.java,9,0,0,,,,,,,,,,,
