CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
a53c9a5d06767276ace353a6e54ff324a14f20ae,1,52,1,51,0,0,0,1,2,1,1,1,0,5,18,17,2,1,1,504,20,484,1,1,0,94
f258bb831a1dd6e7e7807b0a224d17f66ee3d1c2,1,0,2,2,0,0,0,1,3,0,1,1,0,47,19,18,2,2,0,504,504,0,1,1,0,100
6f83187af00d739ae10ca13f3b1603c34c7039f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,100
96dabd0ff78accd58098b6f351b091598fdc910a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,100
77977138dd8dc7e7a1bd7cb00142c2f35a426ad9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,100
0eaa1bc72fd494e8c5f14769edd59f34f69091c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,100
dec70940e91a8308c0c842d67275e1e9c8ce382b,3,216,178,38,0,0,0,1,2,9,1,1,1.46948613,852,24,20,108,118,10,6536,6043,493,26,25,1,100
e100d1f500c433b133fb9fa3f60ffb2f67c96ae2,1,100,4,96,0,0,0,1,3,4,1,1,0,366,25,21,56,46,10,3513,2750,763,10,10,0,100
4b220333134afc0b2b3447f697b925c848caf1b8,1,287,2,285,0,0,0,1,3,4,1,1,0,246,26,22,61,30,31,3866,1764,2102,10,8,2,100
683b7ecb730313dd6f02adbe6665239349af416b,1,0,178,178,0,0,0,1,4,0,1,1,0,504,27,23,41,61,20,2775,3866,1091,9,10,1,100
4370752868ca724d50ba1a0a06cdc003980e9d3d,1,206,12,194,0,0,0,1,3,4,1,1,0,273,28,24,52,32,20,3674,2022,1652,10,8,2,100
4d8f04f673b0773539f955f241d0ef098561c51e,1,1,1,0,0,0,0,1,4,0,1,1,0,434,29,25,52,52,0,3674,3674,0,10,10,0,100
08ed6d1b2f96b0b0a1b9b7dbaaed0fec3c791d88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,0,0,0,0,0,0,0,0,0,100
720d80247f3185dc67ca2fb930a5dbfc5d1a0619,1,37,7,30,0,0,0,1,5,12,1,1,0,434,31,27,54,52,2,3825,3674,151,11,10,1,100
4be0f52be9b242b6340ec6705c3e05a4c9e5197d,1,111,0,111,1,0,1,1,1,0,1,1,0,0,32,28,11,0,11,929,0,929,7,0,7,96.15384615
51a62783645be0fd7d092d20c52c470cfb590b36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,0,0,0,0,0,0,0,0,0,100
