4c5fa8333b2c61850d5664b878df9493c7915066,SEDONA-419,Bug,100
f459b31bcc486f22a2f34e4f7ad0a6fe4325cca6,SEDONA-418,Task,100
d99ab70a1c8b25f58f3c770c2004771a71fde2f1,SEDONA-415,New Feature,100
60443f5ab4bc98713795b5ad9d078b8f36bb2c0a,SEDONA-417,Bug,100
d756a9ab870f043946147672158d3b2c9daf8935,SEDONA-413,New Feature,100
3412696a65cf646b88d15a536e08d392d80a8a9b,/,/,100
2f4f9ddb6f038938e25f3dbdcc948f6fd837d3b8,SEDONA-414,Bug,100
5bd0172a8865b162d93320d1229ec59f57a79088,SEDONA-411,New Feature,100
1b7be880b7e1631db594eabd858e8c81efb879d7,/,/,100
ce39b9d8138550a5d7557b13528f40d43c286c94,SEDONA-412,Test,100
ad9c09698d7e7cde9cc72cb511540cb603756a09,/,/,100
8ff2e4e74c0897623af0df832205bff1da89e00b,SEDONA-410,Test,100
bd864a9fd6b1a1341282f4a7995d8a37f61328cc,/,/,100
06e7d679ff979a4f052e0afe5df0b303bf8d70fb,/,/,100
d1ee421fddef0f37634f43503e8f5c1a75ff1cad,/,/,100
7ee22de364d4f518b9f7d74a1acacfe3aa2c736d,/,/,100
df32d2e7e5c0830d2a63c11d9a626966a6c0d027,/,/,100
89a200675dad54f80315325420730dc735391178,/,/,100
b4642f28e50de6ec2445f21d08ca37e376dc3aba,/,/,100
556af1681e46146bfbff90a98883b705b761da8e,SEDONA-408,Improvement,100
7d948bf5fda9b27cd5f0a358e418636ecb865b47,/,/,100
22ee91d7ebb0f62dbec38b465f014f3d4f00ab15,/,/,100
68e334f679f99f989c2345140029b4c9d2471404,SEDONA-406,New Feature,100
0ab5cd631d70750e3e41fb97967b35fbd0f4c41d,/,/,100
e23e98cfdaae6241adec975ca7c85e4dfddb789c,/,/,100
b135e8eb52d086815be6bbf75692c40c637247a7,SEDONA-404,New Feature,99.5478523
db07953021619b4bb3878fd212d34000e87d6b6d,SEDONA-405,Bug,100
16c79721437b6618a1a458970247f7dd1e42f5f7,/,/,100
66e3ddc64be3300be56e4d0ecbe3fb8833668637,SEDONA-403,Bug,100
5a3fe4c42c3d7c6f8a7ad10dec5f92cc3925d2c3,SEDONA-402,Bug,100
40bc1f91374f4cd3737a24fb9d49a5841928bfcd,SEDONA-401,Bug,100
49764b6751079963c7edf18bd09b927bd35b370d,/,/,100
