,FCA
index,A2A
commit294--commit295,100
commit295--commit296,100
commit296--commit297,99.42473634
commit297--commit298,99.80916031
commit298--commit299,100
commit299--commit300,100
commit300--commit301,100
commit301--commit302,100
commit302--commit303,100
commit303--commit304,95.13651877
commit304--commit305,95.77114428
commit305--commit306,100
commit306--commit307,100
commit307--commit308,100
commit308--commit309,100
commit309--commit310,100
commit310--commit311,99.82142857
commit311--commit312,97.91666667
commit312--commit313,100
commit313--commit314,100
commit314--commit315,100
commit315--commit316,100
commit316--commit317,100
commit317--commit318,100
commit318--commit319,100
commit319--commit320,100
commit320--commit322,100
commit322--commit323,100
commit323--commit324,100
commit324--commit325,100
commit325--commit326,100
commit326--commit327,100
commit327--commit328,100
commit328--commit329,100
commit329--commit330,100
commit330--commit331,100
commit331--commit332,100
commit332--commit333,100
commit333--commit334,100
commit334--commit335,100
commit335--commit336,97.96279894
commit336--commit337,100
commit337--commit338,99.53703704
commit338--commit339,100
commit339--commit340,100
commit340--commit341,98.99267399
commit341--commit342,99.63603276
commit342--commit343,100
commit343--commit344,100
commit344--commit345,100
commit345--commit346,100
commit346--commit347,100
commit347--commit348,96.45131938
commit348--commit349,100
commit349--commit350,100
commit350--commit351,100
commit351--commit352,100
commit352--commit353,100
commit353--commit354,100
commit354--commit355,100
commit355--commit356,100
commit356--commit357,100
commit357--commit358,100
commit358--commit359,100
commit359--commit360,100
commit360--commit361,100
commit361--commit362,100
commit362--commit363,100
commit363--commit364,100
commit364--commit365,96.54545455
commit365--commit366,100
commit366--commit367,100
commit367--commit368,100
commit368--commit369,100
commit369--commit370,96.54545455
commit370--commit371,96.54545455
commit371--commit372,100
commit372--commit373,100
commit373--commit374,100
commit374--commit375,100
commit375--commit376,100
commit376--commit377,100
commit377--commit378,100
commit378--commit379,100
commit379--commit380,100
commit380--commit381,97.2270364
commit381--commit382,100
commit382--commit383,100
commit383--commit384,89.46877912
commit384--commit385,100
commit385--commit386,98.00210305
commit386--commit387,100
commit387--commit388,100
commit388--commit389,100
commit389--commit390,100
commit390--commit391,100
commit391--commit392,100
commit392--commit393,100
commit393--commit394,100
commit394--commit395,100
commit395--commit396,100
commit396--commit397,9.368635438
commit397--commit398,9.274193548
commit398--commit399,100
commit399--commit400,100
commit400--commit401,100
commit401--commit402,99.38587513
commit402--commit403,100
commit403--commit404,100
commit404--commit405,100
commit405--commit406,100
commit406--commit407,100
commit407--commit408,100
commit408--commit409,100
commit409--commit410,100
commit410--commit411,100
commit411--commit412,100
commit412--commit413,100
commit413--commit414,100
commit414--commit415,100
commit415--commit416,99.89795918
commit416--commit417,9.218436874
commit417--commit418,9.218436874
commit418--commit419,100
commit419--commit420,100
commit420--commit421,100
commit421--commit422,100
commit422--commit423,100
commit423--commit424,97.90628116
commit424--commit425,100
commit425--commit426,100
commit426--commit427,100
commit427--commit428,100
commit428--commit429,100
commit429--commit430,100
commit430--commit431,100
commit431--commit432,100
commit432--commit433,100
commit433--commit434,100
commit434--commit435,100
commit435--commit436,100
commit436--commit437,100
commit437--commit438,100
commit438--commit439,10.72796935
commit439--commit440,100
commit440--commit441,100
commit441--commit442,100
commit442--commit443,100
commit443--commit444,100
commit444--commit446,100
commit446--commit448,10.72796935
commit448--commit449,100
commit449--commit450,85.46184739
commit450--commit451,100
commit451--commit452,100
commit452--commit453,100
commit453--commit454,100
commit454--commit455,99.45541184
commit455--commit456,100
commit456--commit457,100
commit457--commit458,99.59404601
commit458--commit459,100
commit459--commit461,100
commit461--commit462,100
commit462--commit463,100
commit463--commit464,100
commit464--commit465,100
commit465--commit466,100
commit466--commit467,100
commit467--commit468,100
commit468--commit469,100
commit469--commit470,100
commit470--commit471,100
commit471--commit472,99.79770735
commit472--commit473,100
commit473--commit474,100
commit474--commit475,100
commit475--commit476,93.67088608
commit476--commit477,100
commit477--commit478,86.49155722
commit478--commit479,97.83817171
commit479--commit480,98.27373613
commit480--commit481,100
commit481--commit482,98.27373613
commit482--commit483,98.43161857
commit483--commit484,100
commit484--commit485,100
commit485--commit486,100
commit486--commit487,98.34710744
commit487--commit488,100
commit488--commit489,100
commit489--commit490,100
commit490--commit491,100
commit491--commit492,100
commit492--commit493,98.34710744
commit493--commit494,98.34710744
commit494--commit495,100
commit495--commit496,100
commit496--commit497,100
commit497--commit498,98.34710744
commit498--commit499,100
commit499--commit500,93.57923497
commit500--commit501,100
commit501--commit502,99.4627782
commit502--commit503,100
commit503--commit504,100
commit504--commit505,88.91304348
commit505--commit506,100
commit506--commit507,88.91304348
commit507--commit508,100
commit508--commit509,100
commit509--commit510,99.47009841
commit510--commit511,100
commit511--commit512,100
commit512--commit513,100
commit513--commit514,100
commit514--commit515,99.40253921
commit515--commit516,100
commit516--commit517,100
commit517--commit518,100
commit518--commit519,100
commit519--commit520,89.87915408
commit520--commit521,100
commit521--commit522,89.87915408
commit522--commit523,95.44095665
commit523--commit524,100
commit524--commit525,100
commit525--commit526,98.04364184
commit526--commit527,100
commit527--commit528,100
commit528--commit529,100
commit529--commit530,99.69902182
commit530--commit531,100
commit531--commit532,100
commit532--commit533,100
commit533--commit534,100
commit534--commit535,98.51851852
commit535--commit536,99.8540146
commit536--commit537,100
commit537--commit538,100
commit538--commit539,100
commit539--commit540,100
commit540--commit541,100
commit541--commit542,87.71498771
commit542--commit543,100
commit543--commit544,100
commit544--commit545,87.13029576
commit545--commit546,100
commit546--commit547,100
commit547--commit548,87.13029576
commit548--commit549,87.71498771
commit549--commit550,100
commit550--commit551,100
commit551--commit552,100
commit552--commit553,87.71498771
commit553--commit554,100
commit554--commit555,99.81273408
commit555--commit556,100
commit556--commit557,99.81273408
commit557--commit558,100
commit558--commit559,100
commit559--commit560,87.13029576
commit560--commit561,100
commit561--commit562,100
commit562--commit563,87.13029576
commit563--commit564,89.81937603
commit564--commit565,94.28162974
commit565--commit566,100
commit566--commit567,100
commit567--commit568,92.77899344
commit568--commit569,100
commit569--commit570,100
commit570--commit571,99.23780488
commit571--commit572,100
commit572--commit573,100
commit573--commit574,100
commit574--commit575,99.62092494
commit575--commit576,100
commit576--commit577,100
commit577--commit578,100
commit578--commit579,100
commit579--commit580,99.31869796
commit580--commit581,99.46929492
commit581--commit582,99.69719909
commit582--commit583,100
commit583--commit584,100
commit584--commit585,100
commit585--commit586,100
commit586--commit587,100
commit587--commit588,100
commit588--commit589,98.10892587
commit589--commit590,100
commit590--commit591,100
commit591--commit592,100
commit592--commit593,100
commit593--commit594,100
commit594--commit595,100
commit595--commit596,100
commit596--commit597,100
commit597--commit598,100
commit598--commit599,100
commit599--commit600,97.84117194
commit600--commit601,100
commit601--commit602,97.84117194
commit602--commit603,97.84117194
commit603--commit604,97.84117194
commit604--commit605,97.84117194
commit605--commit606,97.84117194
commit606--commit607,97.84117194
commit607--commit608,97.84117194
commit608--commit609,97.84117194
commit609--commit610,97.84117194
commit610--commit611,97.84117194
commit611--commit612,97.84117194
commit612--commit613,90.77705156
commit613--commit614,92.3816568
commit614--commit615,97.84117194
commit615--commit616,96.13034623
commit616--commit617,100
commit617--commit618,100
commit618--commit619,100
commit619--commit620,100
commit620--commit621,100
commit621--commit622,100
commit622--commit623,100
commit623--commit624,92.82229965
commit624--commit625,100
commit625--commit626,100
commit626--commit627,100
commit627--commit628,100
commit628--commit629,100
commit629--commit630,100
commit630--commit631,100
commit631--commit632,100
commit632--commit633,92.57460097
commit633--commit634,99.75579976
commit634--commit635,100
commit635--commit636,100
commit636--commit637,100
commit637--commit638,100
commit638--commit639,97.68545994
commit639--commit640,100
commit640--commit641,98.62275449
commit641--commit642,100
commit642--commit643,94.70553242
commit643--commit644,100
commit644--commit645,84.21052632
commit645--commit646,100
commit646--commit647,100
commit647--commit648,100
commit648--commit649,100
commit649--commit650,100
commit650--commit651,100
commit651--commit652,100
commit652--commit653,100
commit653--commit654,100
commit654--commit655,100
commit655--commit656,100
commit656--commit657,100
commit657--commit658,83.05084746
commit658--commit659,100
commit659--commit660,100
commit660--commit661,100
commit661--commit662,100
commit662--commit663,100
commit663--commit664,100
commit664--commit665,83.05084746
commit665--commit666,100
commit666--commit667,82.29007634
commit667--commit668,100
commit668--commit669,100
commit669--commit670,100
commit670--commit671,100
commit671--commit672,100
commit672--commit673,100
commit673--commit674,100
commit674--commit675,100
commit675--commit676,100
commit676--commit677,100
commit677--commit680,100
commit680--commit681,100
commit681--commit682,98.0239521
commit682--commit683,100
commit683--commit684,100
commit684--commit685,100
commit685--commit686,100
commit686--commit687,100
commit687--commit688,100
commit688--commit689,100
commit689--commit694,100
commit694--commit695,99.69381506
commit695--commit696,100
commit696--commit697,100
commit697--commit698,100
commit698--commit699,100
commit699--commit700,100
commit700--commit702,100
commit702--commit703,97.72998805
commit703--commit704,99.6489175
commit704--commit705,100
commit705--commit706,100
commit706--commit707,100
commit707--commit708,100
commit708--commit709,100
commit709--commit710,100
commit710--commit711,100
commit711--commit712,100
commit712--commit713,100
commit713--commit714,100
commit714--commit715,100
commit715--commit716,100
commit716--commit717,100
commit717--commit719,100
commit719--commit720,100
commit720--commit721,100
commit721--commit722,100
commit722--commit723,100
commit723--commit724,100
commit724--commit725,100
commit725--commit726,100
commit726--commit727,100
commit727--commit728,100
commit728--commit729,100
commit729--commit730,100
commit730--commit731,100
commit731--commit732,99.94145199
commit732--commit733,100
commit733--commit734,100
commit734--commit735,100
commit735--commit736,100
commit736--commit738,100
commit738--commit739,100
commit739--commit740,100
commit740--commit741,100
commit741--commit743,100
commit743--commit745,100
commit745--commit746,100
commit746--commit747,94.05134627
commit747--commit748,95.34726905
commit748--commit749,100
commit749--commit750,100
commit750--commit751,99.864682
commit751--commit752,100
commit752--commit753,100
commit753--commit754,100
commit754--commit755,100
commit755--commit756,100
commit756--commit757,100
commit757--commit758,100
commit758--commit759,100
commit759--commit760,100
commit760--commit761,100
commit761--commit762,100
commit762--commit763,100
commit763--commit764,100
commit764--commit765,100
commit765--commit766,100
commit766--commit767,100
commit767--commit768,100
commit768--commit769,100
commit769--commit770,100
commit770--commit771,100
